"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675939634E1,1.203257916E1,1.060059326E3,-1.000000000E0,-1.000000000E0,1.232139017E2,1.232139017E2
1.508810520E-1,4.675939634E1,1.203257916E1,1.060059326E3,-1.000000000E0,-1.000000000E0,1.232526938E2,1.232526938E2
4.554140568E-1,4.675940076E1,1.203264732E1,1.057892578E3,-1.000000000E0,-1.000000000E0,1.234131827E2,1.234131827E2
5.451350212E-1,4.675940358E1,1.203269103E1,1.056642456E3,-1.000000000E0,-1.000000000E0,1.234132911E2,1.234132911E2
2.342790961E0,4.675940540E1,1.203271907E1,1.055829956E3,-1.000000000E0,-1.000000000E0,1.234132924E2,1.234132924E2
3.064693213E0,4.675919338E1,1.203228705E1,1.064030361E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
4.064786792E0,4.675919338E1,1.203228705E1,1.059308193E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
5.064702392E0,4.675942061E1,1.203232753E1,1.060667568E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
6.064706206E0,4.675942061E1,1.203232753E1,1.060983852E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
7.064709902E0,4.675942061E1,1.203232753E1,1.060458828E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
8.064716220E0,4.675942061E1,1.203232753E1,1.060469448E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
