"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675968074E1,1.203244798E1,1.064949429E3,-1.000000000E0,-1.000000000E0,1.000000000E2,1.000000000E2
1.594815254E-1,4.675984675E1,1.203239903E1,1.063314663E3,2.200000048E0,3.526171875E2,1.000000000E2,1.000000000E2
1.197472215E0,4.675981842E1,1.203239760E1,1.059973598E3,2.200000048E0,-1.000000000E0,1.000000000E2,1.000000000E2
2.159468651E0,4.675983371E1,1.203239417E1,1.059102383E3,1.779999971E0,-1.000000000E0,1.000000000E2,1.000000000E2
3.159461737E0,4.675983859E1,1.203239311E1,1.059102417E3,1.397366923E-5,-1.000000000E0,2.000000000E2,2.000000000E2
4.159453869E0,4.675984955E1,1.203239073E1,1.060725185E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
5.159444571E0,4.675984955E1,1.203239073E1,1.060838955E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
6.159435511E0,4.675984955E1,1.203239073E1,1.060886318E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
7.159427285E0,4.675984955E1,1.203239073E1,1.059408413E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
8.159419656E0,4.675984955E1,1.203239073E1,1.058306484E3,0.000000000E0,0.000000000E0,1.000000000E2,1.000000000E2
