"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.692748000E0,1.375639343E-1,-1.386117554E-1,-9.802964630E0
1.712370000E0,1.546284485E-1,-1.204994202E-1,-9.803713074E0
1.731964000E0,1.454974365E-1,-1.285826111E-1,-9.803713074E0
1.751593000E0,1.574725342E-1,-1.306782532E-1,-9.826016693E0
1.771208000E0,1.395098877E-1,-1.228944397E-1,-9.811496887E0
1.790800000E0,1.547781372E-1,-1.305285645E-1,-9.812993774E0
1.810437000E0,1.603166199E-1,-1.368154907E-1,-9.832453308E0
1.830046000E0,1.327738953E-1,-1.335223389E-1,-9.822573853E0
1.849669000E0,1.576222229E-1,-1.163081360E-1,-9.818981323E0
1.869262000E0,1.588197327E-1,-1.202000427E-1,-9.800719299E0
1.888874000E0,1.486408997E-1,-1.350192261E-1,-9.801916809E0
1.908508000E0,1.490899658E-1,-1.407073975E-1,-9.828262024E0
1.928100000E0,1.505868530E-1,-1.366658020E-1,-9.837393036E0
1.947722000E0,1.565744019E-1,-1.278341675E-1,-9.828711090E0
1.967346000E0,1.685494995E-1,-1.336720276E-1,-9.811945953E0
1.986949000E0,1.628613281E-1,-1.293310547E-1,-9.854307861E0
2.006560000E0,1.478924561E-1,-1.284329224E-1,-9.854756927E0
2.026183000E0,1.442999268E-1,-1.252894592E-1,-9.815987549E0
2.045806000E0,1.618135071E-1,-1.354682922E-1,-9.795330505E0
2.065429000E0,1.484912109E-1,-1.417552185E-1,-9.823322296E0
2.085029000E0,1.517843628E-1,-1.372645569E-1,-9.858798523E0
2.104674000E0,1.631607056E-1,-1.236428833E-1,-9.834698639E0
2.124266000E0,1.445993042E-1,-1.269360352E-1,-9.802216187E0
2.143889000E0,1.597178650E-1,-1.291813660E-1,-9.823771362E0
2.163513000E0,1.392105103E-1,-1.246907043E-1,-9.853260040E0
2.183118000E0,1.550775146E-1,-1.332229614E-1,-9.837093658E0
2.202757000E0,1.573228455E-1,-1.495390320E-1,-9.820777588E0
2.222349000E0,1.441502380E-1,-1.273851013E-1,-9.849667511E0
2.241973000E0,1.546284485E-1,-1.281335449E-1,-9.837093658E0
2.261593000E0,1.652563477E-1,-1.179547119E-1,-9.849517822E0
2.281208000E0,1.583706665E-1,-1.390608215E-1,-9.831854553E0
2.300824000E0,1.338217163E-1,-1.324745178E-1,-9.842931519E0
2.320433000E0,1.387614441E-1,-1.378633118E-1,-9.851164398E0
2.340048000E0,1.701960754E-1,-1.240919495E-1,-9.841284943E0
2.359679000E0,1.585203552E-1,-1.306782532E-1,-9.847871246E0
2.379294000E0,1.580712891E-1,-1.365161133E-1,-9.831106110E0
2.398925000E0,1.359173584E-1,-1.294807434E-1,-9.830806732E0
2.418517000E0,1.561253357E-1,-1.440005493E-1,-9.849218445E0
2.438140000E0,1.549278259E-1,-1.444496155E-1,-9.833501129E0
2.457763000E0,1.568737793E-1,-1.537303162E-1,-9.822124786E0
2.477385000E0,1.471440125E-1,-1.410067749E-1,-9.839338989E0
2.497009000E0,1.522334290E-1,-1.221459961E-1,-9.855655060E0
2.516631000E0,1.589694214E-1,-1.398092651E-1,-9.857151947E0
2.536244000E0,1.627116394E-1,-1.405577087E-1,-9.836345215E0
2.555877000E0,1.466949463E-1,-1.302291870E-1,-9.839189301E0
2.575499000E0,1.651066589E-1,-1.172062683E-1,-9.856553192E0
2.595091000E0,1.329235840E-1,-1.407073975E-1,-9.832752686E0
2.614715000E0,1.598675537E-1,-1.296304321E-1,-9.851912842E0
