"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675925739E1,1.203320188E1,1.054518555E3,-1.000000000E0,-1.000000000E0,1.582066649E2,1.582066649E2
5.853700638E-2,4.675925739E1,1.203320188E1,1.054518555E3,-1.000000000E0,-1.000000000E0,1.582066649E2,1.582066649E2
3.161250353E-1,4.675937128E1,1.203296327E1,1.053304443E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.439510345E-1,4.675937265E1,1.203296039E1,1.053150513E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.168390989E0,4.675943198E1,1.203286983E1,1.053030640E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.655749679E0,4.675938520E1,1.203291276E1,1.048665005E3,1.100000024E0,-1.000000000E0,1.000000000E2,1.000000000E2
3.655749917E0,4.675938520E1,1.203291276E1,1.057350307E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
4.655750275E0,4.675938520E1,1.203291276E1,1.057236782E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
5.655733109E0,4.675938520E1,1.203291276E1,1.056740688E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
6.655729294E0,4.675938520E1,1.203291276E1,1.056744961E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
7.655730128E0,4.675938520E1,1.203291276E1,1.056744961E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
8.655731797E0,4.675938520E1,1.203291276E1,1.056739346E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
9.655598640E0,4.675938520E1,1.203291276E1,1.056734585E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.065554357E1,4.675938520E1,1.203291276E1,1.056729092E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.165556037E1,4.675938520E1,1.203291276E1,1.056727261E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.265556598E1,4.675938520E1,1.203291276E1,1.056732632E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.365555739E1,4.675938520E1,1.203291276E1,1.056733120E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
