,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
5,4592481971.0,46.75948895,12.03268775,1052.783569,-1.0,-1.0,65.0,65.0
6,4841238976.0,46.75940624,12.03263154,1057.057949,0.0,0.0,50.0,50.0
7,5841235280.0,46.75940624,12.03263154,1057.040371,0.0,0.0,50.0,50.0
8,6841239691.0,46.75940624,12.03263154,1056.954433,0.0,0.0,50.0,50.0
