,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
4,2392596006.0,46.75940647,12.03278079,1052.507446,-1.0,-1.0,165.0,165.0
5,4667155027.0,46.75944921,12.03288926,1052.601196,-1.0,-1.0,65.0,65.0
