"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.645695008E-1,5.643034993E-2,-1.560153167E-1
2.176900000E-2,6.940499713E-2,5.835784803E-2,-7.559608845E-2
4.352800000E-2,-1.600677455E-2,5.591701465E-2,-1.167608658E-1
6.528700000E-2,-6.029499403E-2,7.024468014E-2,-5.803985999E-2
8.704000000E-2,-5.409616086E-3,1.053083813E-1,-9.371703459E-2
1.088060000E-1,6.858995465E-2,1.313173447E-1,-1.118406622E-1
1.305650000E-1,7.565399415E-2,1.104459917E-1,-8.473713661E-2
1.523240000E-1,3.701782294E-3,6.495738106E-2,-8.789295198E-2
1.740830000E-1,-2.420909677E-2,5.180868327E-2,-5.155640332E-2
1.958480000E-1,-7.506277213E-2,1.018742567E-1,-7.405174743E-2
2.176310000E-1,-8.937594292E-2,2.192447496E-1,-1.018954072E-1
2.393720000E-1,-3.874574312E-2,2.091000862E-1,-1.020622082E-1
2.611500000E-1,1.679162392E-2,1.353527549E-1,-8.078199771E-2
2.829080000E-1,2.034737257E-3,1.157916715E-1,-3.847646970E-2
3.046670000E-1,-2.133110865E-2,1.815619298E-1,-5.404834959E-2
3.264260000E-1,-6.425414831E-2,1.968830600E-1,-6.501599483E-2
3.481850000E-1,-1.079322737E-1,1.977870761E-1,-4.045686683E-2
3.699550000E-1,-7.493374966E-2,1.926183933E-1,-6.079816521E-2
3.917300000E-1,-4.332832023E-2,2.335351619E-1,-5.276017144E-2
4.134940000E-1,-2.973925629E-2,2.550600235E-1,-5.102310985E-2
4.352520000E-1,-3.784260412E-2,1.504794927E-1,-7.570394673E-2
4.570110000E-1,-8.954024054E-2,1.819898729E-1,-1.839138900E-2
4.787700000E-1,-9.622004488E-2,2.578024956E-1,-5.391186279E-2
5.005290000E-1,-1.086566889E-1,2.976014045E-1,-3.514562158E-2
5.222890000E-1,-8.790778016E-2,2.671496170E-1,-5.443873803E-2
5.440780000E-1,-5.891144230E-2,1.753262945E-1,-3.843350180E-2
5.658370000E-1,-6.872585673E-2,2.386120069E-1,-3.994014655E-2
5.875820000E-1,-9.616656113E-2,3.009065431E-1,-1.733440884E-2
6.093550000E-1,-1.058320269E-1,3.193796698E-1,-4.274716638E-2
6.311140000E-1,-1.369975219E-1,2.405322691E-1,-2.481235584E-2
6.528730000E-1,-1.040098974E-1,2.340201885E-1,-2.580935636E-2
6.746330000E-1,-1.110968233E-1,2.871068218E-1,-1.826273656E-2
6.964060000E-1,-1.045972228E-1,3.202297088E-1,-3.053960536E-2
7.181810000E-1,-9.875683199E-2,3.112279568E-1,-2.843692605E-2
7.399400000E-1,-1.113249469E-1,2.805884554E-1,-1.336412087E-2
7.617000000E-1,-1.280187476E-1,2.835597181E-1,-3.320557253E-2
7.834710000E-1,-1.309341511E-1,3.297126500E-1,-2.323268713E-2
8.052170000E-1,-1.254233148E-1,3.549591000E-1,-7.312209838E-3
8.269760000E-1,-1.131400963E-1,3.270434326E-1,-4.713690871E-2
8.487350000E-1,-1.116534234E-1,3.160283016E-1,-5.980215255E-3
8.704980000E-1,-1.258466441E-1,3.324625225E-1,-2.146250427E-2
8.922650000E-1,-1.204378508E-1,3.364122435E-1,-2.070411354E-2
9.140420000E-1,-1.276421321E-1,3.624805927E-1,-1.869074703E-2
9.358020000E-1,-1.411489627E-1,3.349826359E-1,-2.718085048E-2
9.575600000E-1,-1.319893999E-1,3.463268555E-1,-1.728079947E-2
9.793190000E-1,-1.356339968E-1,3.420542950E-1,-5.145294530E-3
1.001079000E0,-1.472727791E-1,3.538298564E-1,-2.305660372E-2
1.022869000E0,-1.422132930E-1,3.651079294E-1,-1.032855827E-2
1.044627000E0,-1.344240892E-1,3.617458535E-1,-2.144756560E-3
1.066386000E0,-1.696906933E-1,3.518426437E-1,-1.972429607E-2
1.088138000E0,-1.518641133E-1,3.721955588E-1,-1.860198241E-2
1.109910000E0,-1.676923525E-1,3.955491189E-1,-3.179638670E-2
1.131664000E0,-1.539428442E-1,3.832450422E-1,-1.397159975E-2
1.153937125E0,-1.536716430E-1,3.859817584E-1,-2.026561719E-3
1.175695125E0,-1.620915970E-1,3.994463612E-1,-1.715467320E-2
1.197470125E0,-1.631712123E-1,4.018153606E-1,-2.177651345E-2
1.219238125E0,-1.630873778E-1,3.929539418E-1,-2.535560786E-2
1.240987125E0,-1.799370799E-1,3.895478291E-1,-1.856268616E-2
1.262762125E0,-1.611391404E-1,3.873260698E-1,-1.572439514E-2
1.284523125E0,-1.665440142E-1,4.103958207E-1,-2.541193527E-2
1.306280125E0,-1.578301097E-1,3.907937976E-1,-3.269049678E-2
1.328039125E0,-1.486381588E-1,4.059661163E-1,-1.958888963E-2
1.349830125E0,-1.615078439E-1,4.264554908E-1,-2.476909101E-2
1.371589125E0,-1.605671182E-1,4.177393023E-1,-1.376973376E-2
1.393348125E0,-1.744191356E-1,4.186884515E-1,7.733626208E-3
1.415106125E0,-1.728098539E-1,4.257454561E-1,-1.836926095E-2
