"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675938835E1,1.203287778E1,1.052770752E3,-1.000000000E0,-1.000000000E0,3.890660002E2,3.890660002E2
2.746903896E-2,4.675938836E1,1.203287776E1,1.052770752E3,-1.000000000E0,-1.000000000E0,3.890667781E2,3.890667781E2
2.335890532E-1,4.675940555E1,1.203278570E1,1.052694702E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
5.953600407E-1,4.675940713E1,1.203277727E1,1.052631470E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
2.227560043E0,4.675940804E1,1.203277236E1,1.052575562E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
4.060736418E0,4.675939267E1,1.203285731E1,1.052289429E3,3.520799578E-8,-1.000000000E0,2.000000000E2,2.000000000E2
5.060758233E0,4.675938631E1,1.203289241E1,1.054818359E3,4.751670667E-8,-1.000000000E0,2.000000000E2,2.000000000E2
6.060780048E0,4.675938314E1,1.203290996E1,1.055673218E3,5.365524382E-8,-1.000000000E0,2.000000000E2,2.000000000E2
7.060799122E0,4.675938155E1,1.203291873E1,1.056102905E3,5.670629636E-8,-1.000000000E0,2.000000000E2,2.000000000E2
8.060800076E0,4.675938075E1,1.203292312E1,1.056381836E3,2.184474434E-6,-1.000000000E0,2.000000000E2,2.000000000E2
