"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.871841583E0,8.816140890E-2,3.408451751E-2,-1.236914750E-2
1.893602583E0,8.937989920E-2,3.530751169E-2,-1.597822644E-2
1.915359583E0,8.933127671E-2,3.280948848E-2,-1.712759212E-2
1.937118583E0,9.161297977E-2,3.522025794E-2,-1.350213494E-2
1.958907583E0,8.915135264E-2,3.644074127E-2,-1.721463166E-2
1.980635583E0,8.883067966E-2,3.263417631E-2,-7.492908277E-3
2.002425583E0,9.246510267E-2,3.755094856E-2,-9.913274087E-3
2.024184583E0,9.026175737E-2,3.444522247E-2,-1.096106973E-2
2.045944583E0,9.015919268E-2,3.935697675E-2,-9.869764559E-3
2.067703583E0,8.642636240E-2,3.810213506E-2,-9.945299476E-3
2.089461583E0,9.142851830E-2,3.563605621E-2,-1.577623375E-2
2.111211583E0,9.003958106E-2,3.558690846E-2,-1.099213772E-2
2.132979583E0,9.124515206E-2,3.433034569E-2,-1.334008947E-2
2.154739583E0,8.747820556E-2,3.430519998E-2,-1.223888341E-2
2.176498583E0,9.358316660E-2,3.551971912E-2,-1.330066379E-2
2.198257583E0,9.224657714E-2,3.548466042E-2,-1.092608459E-2
2.220016583E0,9.109437466E-2,3.672944382E-2,-1.701344177E-2
2.241757583E0,9.582731128E-2,3.419967368E-2,-1.079619862E-2
2.263534583E0,9.084820747E-2,3.664806485E-2,-1.099090371E-2
2.285291583E0,9.081909806E-2,3.663357720E-2,-1.219613850E-2
2.307052583E0,9.318654239E-2,3.783813491E-2,-1.095135510E-2
2.328811583E0,9.066271782E-2,3.410764039E-2,-9.731040336E-3
2.350570583E0,9.064473957E-2,3.780219331E-2,-1.222600043E-2
2.372317583E0,8.565554768E-2,3.654143214E-2,-1.113109477E-2
2.394087583E0,9.042408317E-2,3.772392496E-2,-8.613303304E-3
2.415847583E0,9.059981257E-2,3.405256942E-2,-1.696259901E-2
2.437607583E0,9.230245650E-2,3.539064527E-2,-4.105338082E-2
2.459366583E0,9.920359403E-2,4.720361531E-2,-4.099872410E-1
2.481138583E0,9.661351889E-2,4.076262563E-2,-1.302542686E-1
2.502901583E0,1.026184037E-1,5.585194007E-2,-1.822625995E-1
2.524642583E0,8.784151822E-2,8.682384342E-2,3.239032999E-2
2.546401583E0,8.192311972E-2,4.689239562E-1,1.597488225E-1
2.568160583E0,2.238466293E-1,5.909277201E-1,-2.790362239E-1
2.589921583E0,3.602659702E-1,7.197021693E-2,-1.157843947E0
2.611679583E0,4.977467656E-1,1.650073528E-1,-1.721458316E0
2.633448583E0,6.341980696E-1,1.394980669E0,-1.769720316E0
2.655227583E0,1.363293767E0,3.182750940E0,-9.112375975E-1
2.676959583E0,1.150122762E0,3.859370708E0,-6.456927657E-1
2.698745583E0,-1.489675641E-1,4.446894169E0,-4.289729297E-1
2.720504583E0,-8.002545834E-1,3.513095856E0,-2.800913155E-1
2.742263583E0,-1.304466367E0,4.124871254E0,3.765803277E-1
2.764022583E0,-1.754287601E0,5.823346615E0,1.004034877E0
2.785776583E0,-1.890567183E0,6.175844669E0,1.142887115E0
2.807540583E0,-1.562892795E0,6.579806805E0,1.293539762E0
2.829299583E0,-1.131887674E0,7.618400097E0,9.721795917E-1
2.851058583E0,-7.748997211E-1,7.031735897E0,2.513631247E-2
2.872824583E0,-7.566698790E-1,6.235091209E0,-3.986285329E-1
2.894570583E0,-1.934742451E0,5.911481380E0,-4.519298375E-1
2.916335583E0,-2.695566416E0,7.144404888E0,2.268385887E-1
2.938095583E0,-2.695582628E0,7.355980873E0,8.416132927E-1
2.959853583E0,-2.044887304E0,6.713680267E0,5.646169186E-1
2.981625583E0,-9.988120943E-2,5.154712677E0,-2.903098240E-2
3.003378583E0,1.371917844E0,3.892797947E0,-4.606444240E-1
3.025130583E0,1.348806739E0,3.311327457E0,-6.300206184E-1
3.046889583E0,1.100870609E0,3.505713940E0,-4.641754329E-1
3.068648583E0,6.708747149E-1,3.704248905E0,-1.251121610E-1
3.090407583E0,-1.378359087E-2,3.747069836E0,4.161345586E-2
3.112166583E0,4.218008518E-1,3.389712095E0,3.114390969E-1
3.133926583E0,1.751403332E0,3.918511391E0,3.028344214E-1
3.155685583E0,3.112509251E0,6.399001598E0,6.075354815E-1
3.177444583E0,1.697158456E0,1.216102600E0,4.543800354E-1
3.199197583E0,2.480079681E-1,3.600304574E-2,1.248804256E-1
3.220962583E0,-4.150060117E-1,5.146427155E-1,-1.661154479E-1
3.242721583E0,-2.101456076E-1,4.011424184E-1,-6.761381626E-1
3.264480583E0,6.382402182E-1,1.218001962E0,-1.151957393E0
3.286240583E0,1.202158093E0,1.225287676E0,-1.205066681E0
3.308029583E0,1.506368518E0,8.198364973E-1,-9.293820858E-1
3.329787583E0,1.437424183E0,1.303327203E0,-5.879098773E-1
