"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.393044853E1,-2.617164612E1,3.526828766E1
2.176700000E-2,-1.394168949E1,-2.613400650E1,3.529175186E1
4.351900000E-2,-1.396301174E1,-2.606548500E1,3.533396912E1
6.527800000E-2,-1.397075844E1,-2.604944420E1,3.534273529E1
8.703600000E-2,-1.396956825E1,-2.603323555E1,3.535515213E1
1.087890000E-1,-1.395645809E1,-2.603026581E1,3.536251068E1
1.305860000E-1,-1.397982407E1,-2.596364403E1,3.540224075E1
1.523440000E-1,-1.399660015E1,-2.591378593E1,3.543212891E1
1.741030000E-1,-1.400551414E1,-2.588740158E1,3.544788361E1
1.958620000E-1,-1.402733326E1,-2.582256317E1,3.548653030E1
2.176220000E-1,-1.402165222E1,-2.586452293E1,3.545820999E1
2.393800000E-1,-1.403194332E1,-2.582504082E1,3.548291016E1
2.611400000E-1,-1.402541924E1,-2.580071640E1,3.550317383E1
2.828980000E-1,-1.399840355E1,-2.584078598E1,3.548468781E1
3.046570000E-1,-1.399908161E1,-2.585020447E1,3.547756195E1
3.264270000E-1,-1.401794338E1,-2.578309822E1,3.551892471E1
3.481750000E-1,-1.403833008E1,-2.571540070E1,3.555991745E1
3.699340000E-1,-1.402861691E1,-2.572309494E1,3.555819321E1
3.916930000E-1,-1.400102425E1,-2.575366211E1,3.554694366E1
4.134580000E-1,-1.396773720E1,-2.581495094E1,3.551556015E1
4.352220000E-1,-1.397334671E1,-2.577898407E1,3.553947449E1
4.569710000E-1,-1.399437904E1,-2.571302986E1,3.557896042E1
4.787290000E-1,-1.398882103E1,-2.575973320E1,3.554734421E1
5.005190000E-1,-1.398314571E1,-2.579875946E1,3.552126694E1
5.222780000E-1,-1.397762871E1,-2.579318428E1,3.552748871E1
5.440370000E-1,-1.395030880E1,-2.580849648E1,3.552710724E1
5.657910000E-1,-1.394809532E1,-2.578476715E1,3.554520035E1
5.875550000E-1,-1.396675873E1,-2.571953773E1,3.558510590E1
6.093000000E-1,-1.397828102E1,-2.569067192E1,3.560142899E1
6.310730000E-1,-1.398135853E1,-2.568985939E1,3.560081100E1
6.528320000E-1,-1.396447754E1,-2.572453308E1,3.558238983E1
6.745910000E-1,-1.398450661E1,-2.565844154E1,3.562222290E1
6.963520000E-1,-1.401014328E1,-2.557461166E1,3.567239761E1
7.181120000E-1,-1.403285313E1,-2.550707245E1,3.571180725E1
7.398680000E-1,-1.402772141E1,-2.553192520E1,3.569606018E1
7.616280000E-1,-1.400446510E1,-2.563637352E1,3.563026810E1
