"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,9.131486714E-2,3.632198274E-2,-1.354995184E-2
2.175900000E-2,8.795171976E-2,3.769732639E-2,-1.189907361E-2
4.351800000E-2,9.163544327E-2,3.769363463E-2,-1.179602277E-2
6.527800000E-2,9.037820250E-2,3.768702596E-2,-1.062560547E-2
8.703600000E-2,9.157397598E-2,3.891447559E-2,-9.414666332E-3
1.087950000E-1,9.537959099E-2,4.017278180E-2,-1.536399219E-2
1.305620000E-1,8.789432794E-2,3.891050071E-2,-1.072277967E-2
1.523130000E-1,9.166260809E-2,4.015835375E-2,-1.546737179E-2
1.740720000E-1,8.780633658E-2,3.641208634E-2,-7.052049506E-3
1.958310000E-1,9.163569659E-2,4.015196115E-2,-1.426255889E-2
2.175910000E-1,9.410981089E-2,3.643630445E-2,-1.651937887E-2
2.393690000E-1,8.921467513E-2,3.520314768E-2,-1.903869025E-2
2.611400000E-1,9.390116483E-2,4.008033499E-2,-1.178572886E-2
2.828980000E-1,9.132052958E-2,3.880677000E-2,-8.212267421E-3
3.046420000E-1,9.130830318E-2,3.755470365E-2,-9.389234707E-3
3.264160000E-1,8.765619993E-2,3.754853085E-2,-1.310711633E-2
3.481750000E-1,9.248538315E-2,3.751866892E-2,-1.176549774E-2
3.699340000E-1,9.121819586E-2,3.750142828E-2,-1.300537027E-2
3.916930000E-1,8.743198961E-2,3.624415025E-2,-8.260948583E-3
4.134510000E-1,9.359986335E-2,3.251390904E-2,-1.402978692E-2
4.352231667E-1,9.111548215E-2,3.621113673E-2,-1.538839750E-2
4.569871667E-1,9.223202616E-2,3.492614627E-2,-1.412182394E-2
4.787781667E-1,8.961766958E-2,3.612094745E-2,-9.399986826E-3
5.005161667E-1,8.709536493E-2,3.361151367E-2,-1.061801519E-2
5.222951667E-1,9.208452702E-2,3.361534327E-2,-1.650522277E-2
5.440541667E-1,9.061273187E-2,3.353993222E-2,-1.172173861E-2
5.658141667E-1,9.294369817E-2,3.719389811E-2,-1.294388436E-2
5.875721667E-1,8.558645844E-2,3.473047540E-2,-1.309355348E-2
6.093191667E-1,9.030435979E-2,3.465494141E-2,-1.175304968E-2
6.311041667E-1,8.775851876E-2,3.584744781E-2,-1.546612568E-2
6.528491667E-1,9.492832422E-2,3.700407967E-2,-1.408511121E-2
6.746081667E-1,8.978089690E-2,3.445090726E-2,-1.055329759E-2
6.963681667E-1,8.723469079E-2,3.564108908E-2,-1.426636241E-2
7.181571667E-1,8.968582749E-2,3.685758263E-2,-1.784111001E-2
7.399061667E-1,8.593182266E-2,3.437178582E-2,-1.427327283E-2
7.616751667E-1,8.816123754E-2,3.305158764E-2,-1.297367923E-2
7.834341667E-1,8.787897974E-2,3.789420798E-2,-1.067907363E-2
8.051911667E-1,8.781512827E-2,3.538142517E-2,-1.664887555E-2
8.269531667E-1,8.641290665E-2,3.161630407E-2,-1.298523322E-2
8.487111667E-1,9.242474288E-2,3.527100012E-2,-1.289933454E-2
8.704711667E-1,8.725240827E-2,3.269159049E-2,-1.057281904E-2
8.922291667E-1,8.719582111E-2,3.511185572E-2,-1.906532422E-2
9.139881667E-1,9.061991423E-2,3.626347706E-2,-1.296762563E-2
9.357471667E-1,8.566591144E-2,3.499796614E-2,-1.669254899E-2
9.575361667E-1,8.911124617E-2,3.490485251E-2,-1.659188792E-2
9.792951667E-1,8.415082842E-2,3.366142139E-2,-1.429144852E-2
