"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.700463867E-1,-1.296304321E-1,-9.900262299E0
1.961800000E-2,1.537303162E-1,-1.336720276E-1,-9.930050354E0
3.923500000E-2,9.789642334E-2,-1.342707825E-1,-9.953850861E0
5.882800000E-2,2.965333557E-1,-1.549278259E-1,-9.920919342E0
7.845700000E-2,1.516346741E-1,-1.507365417E-1,-9.915231171E0
9.804900000E-2,1.327738953E-1,-1.348695374E-1,-9.919871521E0
1.176710000E-1,1.496887207E-1,-1.302291870E-1,-9.923763428E0
1.372640000E-1,1.591191101E-1,-1.442999268E-1,-9.907896423E0
1.568860000E-1,1.537303162E-1,-1.556762695E-1,-9.923613739E0
1.764900000E-1,1.535806274E-1,-1.353186035E-1,-9.906249847E0
1.961010000E-1,1.553768921E-1,-1.366658020E-1,-9.898615723E0
2.157240000E-1,1.425036621E-1,-1.350192261E-1,-9.905950470E0
2.353170000E-1,1.396595764E-1,-1.327738953E-1,-9.890981598E0
2.549380000E-1,1.354682922E-1,-1.516346741E-1,-9.918674011E0
2.745260000E-1,1.648072815E-1,-1.692979431E-1,-9.895621948E0
2.941550000E-1,1.553768921E-1,-1.508862305E-1,-9.930649109E0
3.137530000E-1,1.416055298E-1,-1.369651794E-1,-9.867480469E0
3.333890000E-1,1.360670471E-1,-1.270857239E-1,-9.920769653E0
3.529920000E-1,1.540296936E-1,-1.568737793E-1,-9.887389069E0
3.725980000E-1,1.564247131E-1,-1.350192261E-1,-9.889933777E0
3.922080000E-1,1.356179810E-1,-1.288819885E-1,-9.881850586E0
4.118290000E-1,1.399589539E-1,-1.514849854E-1,-9.851613464E0
4.314530000E-1,1.758842468E-1,-1.475930786E-1,-9.903705139E0
4.510450000E-1,1.517843628E-1,-1.350192261E-1,-9.853559418E0
4.706620000E-1,1.633103943E-1,-1.363664246E-1,-9.866432648E0
4.902600000E-1,1.453477478E-1,-1.459465027E-1,-9.868228912E0
5.098820000E-1,1.573228455E-1,-1.252894592E-1,-9.869576111E0
5.295060000E-1,1.484912109E-1,-1.579216003E-1,-9.862840118E0
5.490980000E-1,1.263372803E-1,-1.462458801E-1,-9.860445099E0
5.687200000E-1,1.691482544E-1,-1.425036621E-1,-9.877958679E0
5.883430000E-1,1.615141296E-1,-1.263372803E-1,-9.826166382E0
6.079660000E-1,1.610650635E-1,-1.290316772E-1,-9.877808990E0
6.275590000E-1,1.480421448E-1,-1.281335449E-1,-9.824220428E0
6.471810000E-1,1.537303162E-1,-1.489402771E-1,-9.839189301E0
6.668221667E-1,1.478924561E-1,-1.507365417E-1,-9.835147705E0
6.864141667E-1,1.683998108E-1,-1.528321838E-1,-9.871671753E0
7.060371667E-1,1.486408997E-1,-1.345701599E-1,-9.857451324E0
7.256541667E-1,1.486408997E-1,-1.555265808E-1,-9.847721558E0
7.452511667E-1,1.546284485E-1,-1.285826111E-1,-9.824669495E0
7.648861667E-1,1.460961914E-1,-1.178050232E-1,-9.833950195E0
7.844781667E-1,1.448986816E-1,-1.347198486E-1,-9.848320312E0
8.040901667E-1,1.471440125E-1,-1.528321838E-1,-9.814191284E0
8.237211667E-1,1.441502380E-1,-1.573228455E-1,-9.826465759E0
8.433341667E-1,1.538800049E-1,-1.270857239E-1,-9.816885681E0
8.629281667E-1,1.633103943E-1,-1.288819885E-1,-9.839937744E0
8.825491667E-1,1.537303162E-1,-1.474433899E-1,-9.820178833E0
9.021431667E-1,1.431024170E-1,-1.526824951E-1,-9.804461517E0
9.217781667E-1,1.567240906E-1,-1.535806274E-1,-9.836345215E0
9.413871667E-1,1.567240906E-1,-1.423539734E-1,-9.830806732E0
9.609781667E-1,1.401086426E-1,-1.335223389E-1,-9.810898132E0
9.806031667E-1,1.751358032E-1,-1.504371643E-1,-9.811047821E0
1.000226167E0,1.627116394E-1,-1.526824951E-1,-9.846524048E0
1.019834167E0,1.706451416E-1,-1.475930786E-1,-9.808203735E0
1.039441167E0,1.529818726E-1,-1.210981750E-1,-9.809401245E0
1.059064167E0,1.576222229E-1,-1.438508606E-1,-9.805509338E0
1.078655167E0,1.648072815E-1,-1.589694214E-1,-9.792037354E0
1.098279167E0,1.460961914E-1,-1.577719116E-1,-9.833800507E0
1.117897167E0,1.610650635E-1,-1.395098877E-1,-9.801018677E0
1.137493167E0,1.592687988E-1,-1.368154907E-1,-9.824968872E0
1.157116167E0,1.468446350E-1,-1.381626892E-1,-9.794582062E0
1.176708167E0,1.688488770E-1,-1.621128845E-1,-9.785001984E0
1.196332167E0,1.719923401E-1,-1.546284485E-1,-9.805808716E0
1.215928167E0,1.463955688E-1,-1.402583313E-1,-9.811496887E0
1.235565167E0,1.520837402E-1,-1.484912109E-1,-9.810898132E0
1.255164167E0,1.469943237E-1,-1.359173584E-1,-9.789792023E0
1.274759167E0,1.613644409E-1,-1.341210938E-1,-9.814790039E0
1.294385167E0,1.615141296E-1,-1.451980591E-1,-9.815089417E0
1.313976167E0,1.625619507E-1,-1.510359192E-1,-9.788594513E0
1.333599167E0,1.529818726E-1,-1.683998108E-1,-9.788295135E0
1.353223167E0,1.354682922E-1,-1.407073975E-1,-9.819879456E0
1.372815167E0,1.672023010E-1,-1.568737793E-1,-9.810598755E0
1.392438167E0,1.624122620E-1,-1.366658020E-1,-9.804311829E0
1.412061167E0,1.468446350E-1,-1.457968140E-1,-9.785900116E0
1.431653167E0,1.580712891E-1,-1.311273193E-1,-9.786947937E0
1.451275167E0,1.808239746E-1,-1.540296936E-1,-9.803862762E0
1.470899167E0,1.679507446E-1,-1.565744019E-1,-9.803862762E0
1.490491167E0,1.707948303E-1,-1.173559570E-1,-9.789193268E0
1.510114167E0,1.471440125E-1,-1.465452576E-1,-9.796078949E0
1.529736167E0,1.431024170E-1,-1.592687988E-1,-9.798623657E0
1.549329167E0,1.490899658E-1,-1.507365417E-1,-9.820927277E0
1.568952167E0,1.374142456E-1,-1.450483704E-1,-9.810299377E0
1.588544167E0,1.582209778E-1,-1.619631958E-1,-9.814191284E0
1.608166167E0,1.561253357E-1,-1.383123779E-1,-9.794881439E0
1.627789167E0,1.462458801E-1,-1.374142456E-1,-9.805060272E0
1.647382167E0,1.655557251E-1,-1.411564636E-1,-9.823172607E0
1.666993167E0,1.480421448E-1,-1.401086426E-1,-9.814640350E0
1.686616167E0,1.645079041E-1,-1.567240906E-1,-9.811047821E0
