,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
0,0.0,46.75949063,12.03333127,1039.087646,-1.0,-1.0,302.5014842,302.5014842
1,47855019.57,46.75949063,12.03333127,1039.087646,-1.0,-1.0,302.5039135,302.5039135
2,535995006.6,46.75949063,12.03333127,1039.087646,-1.0,-1.0,302.7581888,302.7581888
3,606477022.2,46.75949063,12.03333127,1039.087646,-1.0,-1.0,302.7635812,302.7635812
