"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.589080250E0,-1.819565986E-1,4.662342085E-1,-1.453489447E-2
1.610864250E0,-1.996014306E-1,4.573086897E-1,-4.455253989E-2
1.632629250E0,-2.036331772E-1,4.606851643E-1,-2.703214391E-2
1.654388250E0,-2.039829137E-1,4.621233967E-1,-3.478811916E-2
1.676147250E0,-1.935011584E-1,4.492875158E-1,-4.719495147E-2
1.697901250E0,-1.844919147E-1,4.537563965E-1,-1.516580561E-2
1.719660250E0,-1.787076845E-1,4.532232035E-1,-6.063412797E-2
1.741438250E0,-1.886913667E-1,4.515151588E-1,-4.980904972E-2
1.763183250E0,-2.070595542E-1,4.553457428E-1,-3.136312630E-2
1.784942250E0,-1.979879828E-1,4.789463843E-1,-5.849783402E-2
1.806701250E0,-1.899758538E-1,4.649765090E-1,-3.301617299E-2
1.828460250E0,-1.799089950E-1,4.398389634E-1,-4.858833839E-2
1.850246250E0,-1.829326085E-1,4.332670220E-1,-5.956343883E-2
1.872009250E0,-1.852428434E-1,4.725220119E-1,-4.071766178E-2
1.893767250E0,-1.663414630E-1,4.564730860E-1,-6.584757396E-2
1.915528250E0,-2.088249017E-1,4.741551758E-1,-4.244656925E-2
1.937286250E0,-1.909482275E-1,4.677635478E-1,-5.767678445E-2
1.959046250E0,-2.260163552E-1,4.519315536E-1,-4.734135113E-2
1.980798250E0,-1.962105206E-1,4.620099607E-1,-5.469716669E-2
2.002557250E0,-1.941825966E-1,4.768791743E-1,-3.864872502E-2
2.024322250E0,-1.667359673E-1,4.806751136E-1,-5.286919917E-2
2.046081250E0,-1.963359617E-1,4.898920796E-1,-4.384195244E-2
2.067840250E0,-2.182955089E-1,4.886309083E-1,-5.991927844E-2
2.089626250E0,-2.087199624E-1,4.834116105E-1,-4.603245190E-2
2.111389250E0,-2.003500569E-1,4.686082512E-1,-5.138379626E-2
2.133148250E0,-1.751290058E-1,4.842719917E-1,-6.633455110E-2
2.154907250E0,-1.810287733E-1,4.885105287E-1,-4.596461050E-2
2.176666250E0,-1.864551356E-1,4.651337625E-1,-5.104038198E-2
2.198425250E0,-1.819492347E-1,4.805693155E-1,-4.950521378E-2
2.220184250E0,-2.151768782E-1,4.873530724E-1,-4.486517407E-2
2.241943250E0,-2.044977611E-1,4.752532098E-1,-6.802596786E-2
2.263702250E0,-2.111110168E-1,4.830017572E-1,-7.408328128E-2
2.285456250E0,-2.060130670E-1,4.934096549E-1,-6.531394701E-2
2.307220250E0,-1.706936918E-1,4.854700131E-1,-5.465747871E-2
2.328979250E0,-2.015133239E-1,4.837577657E-1,-5.312482299E-2
2.350738250E0,-2.023043243E-1,4.763438982E-1,-5.719007683E-2
2.372528250E0,-2.098312440E-1,4.755167730E-1,-5.464003300E-2
2.394287250E0,-2.093528687E-1,4.763507687E-1,-3.274474341E-2
2.416047250E0,-1.856986521E-1,4.886457821E-1,-7.223909687E-2
2.437805250E0,-2.124431039E-1,5.014265896E-1,-4.997346612E-2
2.459564250E0,-1.994047632E-1,4.873324975E-1,-7.254563715E-2
2.481305250E0,-2.008193143E-1,4.797984332E-1,-5.481456782E-2
2.503077250E0,-2.108742594E-1,4.820231891E-1,-6.024496836E-2
2.524841250E0,-2.159587788E-1,4.883728268E-1,-5.720881990E-2
2.546601250E0,-1.982528251E-1,4.986419993E-1,-5.199540588E-2
2.568359250E0,-2.129006851E-1,5.066694224E-1,-6.763072349E-2
2.590118250E0,-2.061515912E-1,4.835440499E-1,-6.205826759E-2
2.611885250E0,-1.953889685E-1,4.724466559E-1,-7.407933898E-2
2.633667250E0,-1.987669233E-1,4.998807319E-1,-5.785362618E-2
2.655425250E0,-2.208453518E-1,4.926496631E-1,-6.280184613E-2
2.677174250E0,-2.230680064E-1,5.124457040E-1,-5.685526435E-2
2.698944250E0,-2.237145622E-1,5.088519687E-1,-6.048681468E-2
2.720703250E0,-2.035852117E-1,4.896570215E-1,-4.817240949E-2
2.742474250E0,-1.881614080E-1,4.829101752E-1,-5.176964854E-2
2.764221250E0,-1.920447632E-1,4.792193396E-1,-6.213771206E-2
2.785994250E0,-2.239519592E-1,4.751909369E-1,-4.230999565E-2
2.807739250E0,-2.079229321E-1,4.770104808E-1,-4.687468393E-2
2.829498250E0,-2.130579934E-1,4.889586082E-1,-4.651604405E-2
2.851267250E0,-1.919005197E-1,4.834256073E-1,-5.195235576E-2
2.873024250E0,-1.835854136E-1,4.925627588E-1,-5.233147003E-2
2.894806250E0,-2.078541177E-1,4.975361081E-1,-5.085978524E-2
2.916564250E0,-2.051574549E-1,5.017478575E-1,-6.075533435E-2
2.938323250E0,-1.974075005E-1,5.078584902E-1,-5.185235923E-2
2.960082250E0,-2.040463012E-1,4.915847389E-1,-4.604084357E-2
