"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675930202E1,1.203317234E1,1.051235962E3,-1.000000000E0,-1.000000000E0,1.959648971E2,1.959648971E2
1.229199171E-1,4.675930150E1,1.203317359E1,1.051235962E3,-1.000000000E0,-1.000000000E0,1.959862481E2,1.959862481E2
3.991489410E-1,4.675936374E1,1.203293797E1,1.051450928E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
7.051908970E-1,4.675938561E1,1.203285488E1,1.051571899E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
2.237297893E0,4.675942263E1,1.203269279E1,1.051781860E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.148120403E0,4.675941420E1,1.203278124E1,1.047427822E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
4.148383021E0,4.675941420E1,1.203278124E1,1.056818691E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
5.148382425E0,4.675941420E1,1.203278124E1,1.056824673E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
6.148383021E0,4.675941420E1,1.203278124E1,1.056907314E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
7.148387551E0,4.675941420E1,1.203278124E1,1.056885220E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
