"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.354682922E-1,-1.393601990E-1,-9.903705139E0
2.559100000E-2,1.408570862E-1,-1.296304321E-1,-9.913135529E0
4.520900000E-2,1.369651794E-1,-1.296304321E-1,-9.892029419E0
6.480600000E-2,1.634600830E-1,-1.285826111E-1,-9.902357941E0
8.443000000E-2,1.637594604E-1,-1.251397705E-1,-9.908944244E0
1.040530000E-1,1.541793823E-1,-1.167572021E-1,-9.892179108E0
1.236450000E-1,1.639091492E-1,-1.445993042E-1,-9.921967163E0
1.432680000E-1,1.185534668E-1,-1.601669312E-1,-9.905351715E0
1.628600000E-1,1.172062683E-1,-1.416055298E-1,-9.910141754E0
1.824820000E-1,1.366658020E-1,-1.266366577E-1,-9.898166656E0
2.020760000E-1,1.636097717E-1,-1.228944397E-1,-9.933942261E0
2.216980000E-1,1.631607056E-1,-1.234931946E-1,-9.884694672E0
2.412900000E-1,1.743873596E-1,-1.386117554E-1,-9.909393311E0
2.609130000E-1,1.709445190E-1,-1.386117554E-1,-9.897268524E0
2.805190000E-1,1.239422607E-1,-1.252894592E-1,-9.902956696E0
3.001280000E-1,1.333726501E-1,-1.260379028E-1,-9.898765411E0
3.202422500E-1,1.544787598E-1,-1.193019104E-1,-9.890382843E0
3.398652500E-1,1.651066589E-1,-1.264869690E-1,-9.883347473E0
3.594862500E-1,1.706451416E-1,-1.490899658E-1,-9.880204010E0
3.790782500E-1,1.769320679E-1,-1.374142456E-1,-9.887538757E0
3.987002500E-1,1.658551025E-1,-1.389111328E-1,-9.884994049E0
4.182932500E-1,1.389111328E-1,-1.317260742E-1,-9.865085449E0
4.379142500E-1,1.408570862E-1,-1.318757629E-1,-9.880952454E0
4.575382500E-1,1.474433899E-1,-1.344204712E-1,-9.862540741E0
4.771322500E-1,1.507365417E-1,-1.106199646E-1,-9.881850586E0
4.967542500E-1,1.748364258E-1,-1.230441284E-1,-9.861642609E0
5.163462500E-1,1.859133911E-1,-1.432521057E-1,-9.857750702E0
5.359622500E-1,1.624122620E-1,-1.444496155E-1,-9.850116577E0
5.555622500E-1,1.636097717E-1,-1.246907043E-1,-9.870773621E0
5.751842500E-1,1.381626892E-1,-1.291813660E-1,-9.855056305E0
5.947772500E-1,1.477427673E-1,-1.228944397E-1,-9.862989807E0
6.144002500E-1,1.480421448E-1,-1.273851013E-1,-9.852960663E0
6.340102500E-1,1.504371643E-1,-1.398092651E-1,-9.851014709E0
6.536152500E-1,1.749861145E-1,-1.378633118E-1,-9.835147705E0
6.732382500E-1,1.507365417E-1,-1.404080200E-1,-9.825567627E0
6.928292500E-1,1.745370483E-1,-1.335223389E-1,-9.855205994E0
7.124522500E-1,1.559756470E-1,-1.305285645E-1,-9.822873230E0
7.320502500E-1,1.236428833E-1,-1.155596924E-1,-9.843979340E0
7.516482500E-1,1.429527283E-1,-1.264869690E-1,-9.820328522E0
7.712722500E-1,1.595681763E-1,-1.517843628E-1,-9.800719299E0
7.908712500E-1,1.549278259E-1,-1.748364258E-1,-9.829609222E0
8.105062500E-1,1.633103943E-1,-1.468446350E-1,-9.825567627E0
8.300942500E-1,1.832189941E-1,-1.210981750E-1,-9.827812958E0
8.497202500E-1,1.465452576E-1,-1.176553345E-1,-9.812844086E0
8.693132500E-1,1.579216003E-1,-1.387614441E-1,-9.836045837E0
8.889362500E-1,1.378633118E-1,-1.660047913E-1,-9.818532257E0
9.085272500E-1,1.520837402E-1,-1.448986816E-1,-9.850715332E0
9.281332500E-1,1.649569702E-1,-1.438508606E-1,-9.820627899E0
9.477432500E-1,1.718426514E-1,-1.252894592E-1,-9.810449066E0
9.673352500E-1,1.672023010E-1,-1.299298096E-1,-9.836494904E0
9.869582500E-1,1.481918335E-1,-1.305285645E-1,-9.808054047E0
1.006551250E0,1.431024170E-1,-1.320254517E-1,-9.830806732E0
1.026173250E0,1.570234680E-1,-1.404080200E-1,-9.775122528E0
1.045766250E0,1.493893433E-1,-1.483415222E-1,-9.816137238E0
1.065387250E0,1.510359192E-1,-1.493893433E-1,-9.793234863E0
1.085011250E0,1.655557251E-1,-1.459465027E-1,-9.813592529E0
1.104604250E0,1.567240906E-1,-1.221459961E-1,-9.813442841E0
1.124226250E0,1.646575928E-1,-1.356179810E-1,-9.811347198E0
1.143818250E0,1.592687988E-1,-1.383123779E-1,-9.804760895E0
1.163441250E0,1.514849854E-1,-1.362167358E-1,-9.804461517E0
1.183033250E0,1.371148682E-1,-1.380130005E-1,-9.823771362E0
1.202657250E0,1.469943237E-1,-1.416055298E-1,-9.787097626E0
1.222249250E0,1.636097717E-1,-1.237925720E-1,-9.817484436E0
1.241872250E0,1.555265808E-1,-1.300794983E-1,-9.795779572E0
1.261460250E0,1.631607056E-1,-1.276844788E-1,-9.804012451E0
1.281086250E0,1.441502380E-1,-1.387614441E-1,-9.799521790E0
1.300691250E0,1.389111328E-1,-1.417552185E-1,-9.795480194E0
1.320282250E0,1.348695374E-1,-1.493893433E-1,-9.794582062E0
1.339893250E0,1.631607056E-1,-1.462458801E-1,-9.778715057E0
1.359485250E0,1.621128845E-1,-1.507365417E-1,-9.803713074E0
1.379091250E0,1.519340515E-1,-1.234931946E-1,-9.779313812E0
1.398701250E0,1.704954529E-1,-1.216969299E-1,-9.817185059E0
1.418318250E0,1.444496155E-1,-1.451980591E-1,-9.781858521E0
1.437916250E0,1.459465027E-1,-1.531315613E-1,-9.812395020E0
1.457539250E0,1.384620667E-1,-1.526824951E-1,-9.791737976E0
1.477129250E0,1.520837402E-1,-1.356179810E-1,-9.797725525E0
1.496754250E0,1.489402771E-1,-1.164578247E-1,-9.802814941E0
1.516347250E0,1.604663086E-1,-1.444496155E-1,-9.771529999E0
1.535970250E0,1.678010559E-1,-1.374142456E-1,-9.800719299E0
1.555562250E0,1.652563477E-1,-1.498384094E-1,-9.794282684E0
1.575165250E0,1.642085266E-1,-1.585203552E-1,-9.805808716E0
1.594776250E0,1.389111328E-1,-1.529818726E-1,-9.796378326E0
1.614399250E0,1.392105103E-1,-1.604663086E-1,-9.796827393E0
1.633991250E0,1.311273193E-1,-1.190025330E-1,-9.793833618E0
1.653614250E0,1.477427673E-1,-1.386117554E-1,-9.790690155E0
1.673206250E0,1.540296936E-1,-1.499880981E-1,-9.814340973E0
1.692825250E0,1.636097717E-1,-1.384620667E-1,-9.806856537E0
1.712421250E0,1.592687988E-1,-1.561253357E-1,-9.805808716E0
1.732034250E0,1.248403931E-1,-1.562750244E-1,-9.801767120E0
1.751637250E0,1.528321838E-1,-1.341210938E-1,-9.815388794E0
1.771254250E0,1.526824951E-1,-1.237925720E-1,-9.807305603E0
1.790852250E0,1.487905884E-1,-1.564247131E-1,-9.813592529E0
1.810475250E0,1.579216003E-1,-1.451980591E-1,-9.828561401E0
1.830067250E0,1.637594604E-1,-1.377136230E-1,-9.799821167E0
1.849690250E0,1.453477478E-1,-1.459465027E-1,-9.829908600E0
1.869298250E0,1.493893433E-1,-1.407073975E-1,-9.793683929E0
1.888904250E0,1.429527283E-1,-1.404080200E-1,-9.816885681E0
1.908498250E0,1.333726501E-1,-1.369651794E-1,-9.817783813E0
1.928119250E0,1.769320679E-1,-1.345701599E-1,-9.816586304E0
1.947707250E0,1.556762695E-1,-1.342707825E-1,-9.810748444E0
1.967330250E0,1.757345581E-1,-1.411564636E-1,-9.828860779E0
1.986928250E0,1.547781372E-1,-1.504371643E-1,-9.835297394E0
2.006520250E0,1.360670471E-1,-1.462458801E-1,-9.816885681E0
2.026143250E0,1.447489929E-1,-1.210981750E-1,-9.844129028E0
2.045735250E0,1.523831177E-1,-1.347198486E-1,-9.818681946E0
2.065357250E0,1.387614441E-1,-1.387614441E-1,-9.827064514E0
2.084950250E0,1.567240906E-1,-1.451980591E-1,-9.824220428E0
2.104573250E0,1.544787598E-1,-1.496887207E-1,-9.816735992E0
2.124164250E0,1.555265808E-1,-1.438508606E-1,-9.844578094E0
2.143758250E0,1.695973206E-1,-1.324745178E-1,-9.829010468E0
2.163369250E0,1.401086426E-1,-1.302291870E-1,-9.836195526E0
2.182986250E0,1.368154907E-1,-1.399589539E-1,-9.844428406E0
2.202596250E0,1.459465027E-1,-1.422042847E-1,-9.837991791E0
2.222188250E0,1.501377869E-1,-1.471440125E-1,-9.839638367E0
2.241805250E0,1.550775146E-1,-1.323248291E-1,-9.836943970E0
2.261403250E0,1.438508606E-1,-1.357676697E-1,-9.844428406E0
2.281025250E0,1.550775146E-1,-1.270857239E-1,-9.828112335E0
2.300618250E0,1.323248291E-1,-1.273851013E-1,-9.844278717E0
2.320234250E0,1.471440125E-1,-1.287322998E-1,-9.831255798E0
2.339833250E0,1.410067749E-1,-1.312770081E-1,-9.830507355E0
2.359456250E0,1.490899658E-1,-1.456471252E-1,-9.835896149E0
2.379048250E0,1.746867371E-1,-1.294807434E-1,-9.850865021E0
2.398671250E0,1.691482544E-1,-1.248403931E-1,-9.830507355E0
2.418270250E0,1.639091492E-1,-1.478924561E-1,-9.835596771E0
2.437886250E0,1.681004333E-1,-1.320254517E-1,-9.834099884E0
2.457492250E0,1.390608215E-1,-1.347198486E-1,-9.828711090E0
2.477101250E0,1.392105103E-1,-1.556762695E-1,-9.826914825E0
2.496693250E0,1.531315613E-1,-1.460961914E-1,-9.825118561E0
2.516302250E0,1.528321838E-1,-1.356179810E-1,-9.836345215E0
2.535908250E0,1.544787598E-1,-1.401086426E-1,-9.842931519E0
2.555531250E0,1.541793823E-1,-1.375639343E-1,-9.844428406E0
2.575124250E0,1.532812500E-1,-1.387614441E-1,-9.848020935E0
2.594746250E0,1.457968140E-1,-1.609153748E-1,-9.852212219E0
2.614342250E0,1.558259583E-1,-1.553768921E-1,-9.843081207E0
2.633930250E0,1.456471252E-1,-1.523831177E-1,-9.816137238E0
2.653537250E0,1.691482544E-1,-1.398092651E-1,-9.855655060E0
2.673159250E0,1.416055298E-1,-1.257385254E-1,-9.833501129E0
2.692769250E0,1.546284485E-1,-1.393601990E-1,-9.856104126E0
2.712380250E0,1.547781372E-1,-1.390608215E-1,-9.838740234E0
2.731983250E0,1.532812500E-1,-1.457968140E-1,-9.838440857E0
2.751576250E0,1.426533508E-1,-1.422042847E-1,-9.843979340E0
2.771199250E0,1.429527283E-1,-1.348695374E-1,-9.844727783E0
2.790790250E0,1.428030396E-1,-1.425036621E-1,-9.856852570E0
2.810397250E0,1.588197327E-1,-1.498384094E-1,-9.863588562E0
2.830005250E0,1.529818726E-1,-1.540296936E-1,-9.844727783E0
2.849629250E0,1.636097717E-1,-1.636097717E-1,-9.856852570E0
2.869220250E0,1.598675537E-1,-1.354682922E-1,-9.840686188E0
2.888844250E0,1.366658020E-1,-1.411564636E-1,-9.845775604E0
2.908437250E0,1.335223389E-1,-1.609153748E-1,-9.827812958E0
2.928058250E0,1.490899658E-1,-1.363664246E-1,-9.839638367E0
2.947652250E0,1.532812500E-1,-1.411564636E-1,-9.837991791E0
2.967273250E0,1.371148682E-1,-1.459465027E-1,-9.839638367E0
2.986867250E0,1.516346741E-1,-1.508862305E-1,-9.830207977E0
3.006490250E0,1.604663086E-1,-1.447489929E-1,-9.845925293E0
3.026082250E0,1.276844788E-1,-1.481918335E-1,-9.826166382E0
3.045705250E0,1.471440125E-1,-1.549278259E-1,-9.830058289E0
3.065315250E0,1.417552185E-1,-1.422042847E-1,-9.829758911E0
3.084919250E0,1.511856079E-1,-1.422042847E-1,-9.841584320E0
3.104512250E0,1.586700439E-1,-1.624122620E-1,-9.834998016E0
3.124135250E0,1.703457642E-1,-1.300794983E-1,-9.814340973E0
3.143727250E0,1.529818726E-1,-1.508862305E-1,-9.818681946E0
3.163331250E0,1.517843628E-1,-1.496887207E-1,-9.828860779E0
3.182959250E0,1.562750244E-1,-1.359173584E-1,-9.830657043E0
3.202560250E0,1.552272034E-1,-1.481918335E-1,-9.828561401E0
3.222157250E0,1.360670471E-1,-1.407073975E-1,-9.837991791E0
3.241779250E0,1.475930786E-1,-1.386117554E-1,-9.842781830E0
3.261403250E0,1.686991882E-1,-1.601669312E-1,-9.827363892E0
3.280995250E0,1.589694214E-1,-1.423539734E-1,-9.832752686E0
3.300617250E0,1.754351807E-1,-1.466949463E-1,-9.834099884E0
3.320241250E0,1.568737793E-1,-1.227447510E-1,-9.866881714E0
3.339832250E0,1.339714050E-1,-1.371148682E-1,-9.845027161E0
3.359456250E0,1.499880981E-1,-1.511856079E-1,-9.858648834E0
3.379079250E0,1.487905884E-1,-1.405577087E-1,-9.852511597E0
3.398671250E0,1.567240906E-1,-1.390608215E-1,-9.844129028E0
3.418293250E0,1.535806274E-1,-1.520837402E-1,-9.826166382E0
3.437916250E0,1.796264648E-1,-1.348695374E-1,-9.849068756E0
3.457534250E0,1.691482544E-1,-1.336720276E-1,-9.829758911E0
3.477161250E0,1.558259583E-1,-1.401086426E-1,-9.839937744E0
3.496754250E0,1.601669312E-1,-1.306782532E-1,-9.844278717E0
3.516377250E0,1.450483704E-1,-1.320254517E-1,-9.828860779E0
3.536000250E0,1.618135071E-1,-1.480421448E-1,-9.868079224E0
3.555615250E0,1.630110168E-1,-1.577719116E-1,-9.841284943E0
3.575215250E0,1.622625732E-1,-1.378633118E-1,-9.823322296E0
3.594839250E0,1.612147522E-1,-1.401086426E-1,-9.855505371E0
3.614461250E0,1.556762695E-1,-1.404080200E-1,-9.844428406E0
3.634068250E0,1.492396545E-1,-1.633103943E-1,-9.847571869E0
3.653667250E0,1.438508606E-1,-1.398092651E-1,-9.844428406E0
3.673299250E0,1.514849854E-1,-1.390608215E-1,-9.826765137E0
3.692921250E0,1.486408997E-1,-1.558259583E-1,-9.833351440E0
3.712543250E0,1.697470093E-1,-1.445993042E-1,-9.843081207E0
3.732136250E0,1.624122620E-1,-1.498384094E-1,-9.857900391E0
3.751759250E0,1.576222229E-1,-1.505868530E-1,-9.844727783E0
3.771381250E0,1.338217163E-1,-1.466949463E-1,-9.856852570E0
3.791004250E0,1.594184875E-1,-1.499880981E-1,-9.854008484E0
3.810597250E0,1.478924561E-1,-1.378633118E-1,-9.844727783E0
3.830220250E0,1.434017944E-1,-1.420545959E-1,-9.840386810E0
3.849812250E0,1.682501221E-1,-1.416055298E-1,-9.840386810E0
3.869434250E0,1.760339355E-1,-1.348695374E-1,-9.840686188E0
3.889058250E0,1.622625732E-1,-1.395098877E-1,-9.825717316E0
3.908649250E0,1.276844788E-1,-1.552272034E-1,-9.830507355E0
3.928273250E0,1.493893433E-1,-1.579216003E-1,-9.836195526E0
3.947865250E0,1.682501221E-1,-1.366658020E-1,-9.836345215E0
3.967488250E0,1.549278259E-1,-1.453477478E-1,-9.856852570E0
3.987080250E0,1.558259583E-1,-1.278341675E-1,-9.834249573E0
4.006702250E0,1.607656860E-1,-1.378633118E-1,-9.834399261E0
4.026326250E0,1.657054138E-1,-1.483415222E-1,-9.831704865E0
4.045918250E0,1.618135071E-1,-1.393601990E-1,-9.847122803E0
4.065536250E0,1.540296936E-1,-1.395098877E-1,-9.846673737E0
4.085129250E0,1.303788757E-1,-1.597178650E-1,-9.854008484E0
4.104745250E0,1.513352966E-1,-1.438508606E-1,-9.861043854E0
4.124361250E0,1.601669312E-1,-1.393601990E-1,-9.811496887E0
4.143970250E0,1.660047913E-1,-1.384620667E-1,-9.854457550E0
4.163594250E0,1.600172424E-1,-1.625619507E-1,-9.831704865E0
4.183186250E0,1.456471252E-1,-1.447489929E-1,-9.852810974E0
4.202804250E0,1.609153748E-1,-1.499880981E-1,-9.832004242E0
4.222432250E0,1.568737793E-1,-1.457968140E-1,-9.841584320E0
4.242023250E0,1.660047913E-1,-1.213975525E-1,-9.841734009E0
4.261647250E0,1.338217163E-1,-1.393601990E-1,-9.834249573E0
4.281270250E0,1.761836243E-1,-1.507365417E-1,-9.822124786E0
4.300868250E0,1.649569702E-1,-1.573228455E-1,-9.852212219E0
4.320485250E0,1.561253357E-1,-1.425036621E-1,-9.849368134E0
4.340077250E0,1.571731567E-1,-1.344204712E-1,-9.827513580E0
4.359700250E0,1.487905884E-1,-1.308279419E-1,-9.841434631E0
4.379322250E0,1.341210938E-1,-1.416055298E-1,-9.845476227E0
4.398936250E0,1.564247131E-1,-1.402583313E-1,-9.838590546E0
4.418538250E0,1.529818726E-1,-1.404080200E-1,-9.849667511E0
4.438161250E0,1.490899658E-1,-1.579216003E-1,-9.821376343E0
4.457778250E0,1.519340515E-1,-1.303788757E-1,-9.833800507E0
4.477376250E0,1.571731567E-1,-1.552272034E-1,-9.825268250E0
4.497001250E0,1.511856079E-1,-1.411564636E-1,-9.847571869E0
4.516620250E0,1.493893433E-1,-1.372645569E-1,-9.814041595E0
4.536215250E0,1.610650635E-1,-1.489402771E-1,-9.830657043E0
4.555840250E0,1.537303162E-1,-1.633103943E-1,-9.832004242E0
4.575447250E0,1.447489929E-1,-1.555265808E-1,-9.825417938E0
