,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
111,2415369000.0,0.5993575454,0.8616358638,0.001773242024
112,2437128000.0,0.6390438676,1.00691247,-0.1559199691
113,2458887000.0,0.560710609,0.5925660729,-0.2451217473
114,2480659000.0,0.4297849536,0.1706056893,-0.2886092961
115,2502417000.0,0.1627362669,0.09093406796,-0.3629724681
116,2524195000.0,0.0005083127762,-0.09496902674,-0.2113975734
117,2545954000.0,-0.009125958197,0.04483664781,-0.03041659668
118,2567712000.0,0.06984708458,0.1684764326,-0.07200451195
119,2589451000.0,0.2089138329,0.3325464427,-0.06220406666
120,2611215000.0,0.2942249477,0.3440290987,-0.1432541758
121,2632990000.0,0.2788835168,0.4154464304,-0.1320192516
122,2654749000.0,0.3577393591,0.5358929634,-0.05778789148
123,2676508000.0,0.3840843439,0.4816112518,-0.07028210163
124,2698271000.0,0.2024709731,0.2545567453,-0.0870494172
125,2720026000.0,0.03549683094,0.01889270544,-0.09720750898
126,2741785000.0,0.06091147661,-0.1843660474,0.01905868575
127,2763545000.0,0.3185006082,-0.1613990664,0.309011668
128,2785303000.0,0.4962158203,0.1637714952,0.2041252255
129,2807062000.0,0.3620426655,0.09540137649,0.06451806426
130,2828821000.0,0.2362750769,0.1070991829,-0.02846512944
131,2850584000.0,0.2176437527,0.1316615343,-0.02468171716
132,2872339000.0,0.174106583,0.1674151421,-0.008630570024
133,2894107000.0,0.1179167628,0.04258899763,0.003515474498
134,2915858000.0,0.1404526383,-0.07876551896,0.0659706071
135,2937616000.0,0.2076231688,-0.07867733389,0.02928926796
136,2959406000.0,0.2784815431,0.06827869266,0.0158744026
137,2981137000.0,0.245745942,0.178044796,0.02694477327
138,3002897000.0,0.1513730288,0.1485016942,0.02256734297
139,3024683000.0,0.09272322804,0.04036159068,-0.01827237383
140,3046442000.0,0.05981776863,-0.121196337,-0.05047583953
141,3068201000.0,0.05869159102,-0.153368175,-0.04855775833
142,3089957000.0,0.1184616461,0.02078458667,-0.0665173158
143,3111719000.0,0.1454289109,0.1034552082,-0.08207448572
144,3133478000.0,0.118161723,0.006007350516,-0.1059230044
145,3155237000.0,0.1173472479,-0.09410189837,-0.103650026
146,3176996000.0,0.1354359388,-0.05222087353,-0.09805714339
147,3198750000.0,0.1882866025,0.05770540237,-0.12317314
148,3220514000.0,0.2166522443,0.1083618626,-0.139194563
149,3242273000.0,0.2015706897,0.08628292382,-0.1752648503
150,3264032000.0,-0.4448019564,-0.2124718279,-0.1093811467
151,3285805000.0,-0.5048475266,-0.7297608852,-0.1149676517
152,3307551000.0,-0.2244268954,-0.5348767638,-0.1139702871
153,3329309000.0,0.1843055487,-0.03026890196,-0.09352689236
154,3351068000.0,0.4184535444,0.5498489141,-0.08450170606
155,3372827000.0,0.3431538045,0.8081752062,-0.1250265986
156,3394604000.0,-0.08109954,0.5441519618,-0.1079807654
