"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,5.495758021E-3,-3.777305880E-2,-1.082504992E-1
2.176100000E-2,-2.086409885E-2,-3.653758324E-2,-1.146979042E-1
4.351900000E-2,-1.849452270E-2,-1.415005060E-2,-9.859088983E-2
6.529100000E-2,-1.960931606E-2,3.331916840E-2,-8.495069702E-2
8.703700000E-2,-2.642483519E-2,4.949387566E-2,-1.123716260E-1
1.087970000E-1,-4.503380686E-2,5.872423547E-2,-9.592700802E-2
1.305540000E-1,-3.068606669E-2,4.262002142E-2,-8.750151744E-2
1.523150000E-1,-4.435578109E-2,7.004102801E-2,-1.037796359E-1
1.741040000E-1,-5.715507120E-2,9.552164979E-2,-8.191642150E-2
1.958620000E-1,-5.487762638E-2,1.248087541E-1,-7.297141038E-2
2.176220000E-1,-6.154871015E-2,1.178503665E-1,-8.352778623E-2
2.393800000E-1,-6.945685462E-2,1.131226460E-1,-6.897663833E-2
2.611330000E-1,-5.603564460E-2,1.674275285E-1,-6.370798639E-2
2.828990000E-1,-9.924290920E-2,2.046911395E-1,-8.391171989E-2
3.046570000E-1,-8.069053447E-2,1.489022245E-1,-5.576745840E-2
3.264160000E-1,-6.768555484E-2,1.089661345E-1,-7.315782236E-2
3.481870000E-1,-5.623372360E-2,1.430143981E-1,-5.499343780E-2
3.699400000E-1,-5.748294925E-2,1.795773300E-1,-6.334685231E-2
3.917240000E-1,-7.024854478E-2,1.924276462E-1,-3.657846579E-2
4.134830000E-1,-9.018358958E-2,1.475639704E-1,-4.359107948E-2
4.352420000E-1,-8.328200217E-2,1.292073587E-1,-4.596398923E-2
4.570010000E-1,-6.337889322E-2,1.821028520E-1,-3.626503219E-2
4.787610000E-1,-5.942868792E-2,2.343393002E-1,-3.766653669E-2
5.005360000E-1,-1.065661357E-1,2.179327988E-1,-3.578109515E-2
5.222780000E-1,-6.020681984E-2,2.077797484E-1,-4.765457459E-2
5.440410000E-1,-8.755064319E-2,2.214398492E-1,-2.878961365E-2
5.658270000E-1,-1.139135550E-1,2.197350203E-1,-5.240096510E-2
5.875860000E-1,-8.404979641E-2,2.469427360E-1,-1.285460340E-2
6.093450000E-1,-9.586810646E-2,2.654457201E-1,-2.197906237E-2
