"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675950929E1,1.203272073E1,1.071171841E3,0.000000000E0,0.000000000E0,1.000000000E1,1.000000000E1
2.678161025E0,4.675938255E1,1.203292411E1,1.071170532E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.229664683E0,4.675937619E1,1.203281636E1,1.057368862E3,3.400000095E0,9.492187500E1,3.000000000E1,3.000000000E1
4.229663253E0,4.675937619E1,1.203281636E1,1.061187832E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
5.229664683E0,4.675937619E1,1.203281636E1,1.061528286E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
6.229666591E0,4.675937619E1,1.203281636E1,1.061891689E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
7.229667544E0,4.675937619E1,1.203281636E1,1.062483974E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
8.229667187E0,4.675937619E1,1.203281636E1,1.062889614E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
9.229668975E0,4.675937619E1,1.203281636E1,1.063033657E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.022965312E1,4.675937619E1,1.203281636E1,1.063793789E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.128218198E1,4.675937619E1,1.203281636E1,1.063760342E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.222938287E1,4.675937619E1,1.203281636E1,1.063845791E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
