"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675937489E1,1.203255963E1,1.058684902E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
4.464310408E-1,4.675937489E1,1.203255963E1,1.058684937E3,-1.000000000E0,-1.000000000E0,1.002862051E2,1.002862051E2
5.701130629E-1,4.675937489E1,1.203255963E1,1.058684937E3,-1.000000000E0,-1.000000000E0,1.003126888E2,1.003126888E2
7.680380344E-1,4.675938400E1,1.203261623E1,1.056871338E3,-1.000000000E0,-1.000000000E0,1.003815528E2,1.003815528E2
1.020632029E0,4.675939068E1,1.203265769E1,1.055828979E3,-1.000000000E0,-1.000000000E0,1.004961306E2,1.004961306E2
2.657321095E0,4.675959516E1,1.203269492E1,1.053686768E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.470021725E0,4.675955267E1,1.203268804E1,1.060265347E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
5.470021725E0,4.675955267E1,1.203268804E1,1.061986416E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
6.470023870E0,4.675955267E1,1.203268804E1,1.063504116E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
7.470024586E0,4.675950929E1,1.203272073E1,1.066142422E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
