"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675935951E1,1.203295458E1,1.057049072E3,-1.000000000E0,-1.000000000E0,2.040844357E2,2.040844357E2
6.449496746E-2,4.675935951E1,1.203295458E1,1.057049072E3,-1.000000000E0,-1.000000000E0,2.040901436E2,2.040901436E2
3.277319670E-1,4.675937166E1,1.203296639E1,1.053921387E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.412869692E-1,4.675937176E1,1.203296648E1,1.053511475E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.143149018E0,4.675937644E1,1.203294161E1,1.053298584E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.465673923E0,4.675938238E1,1.203290976E1,1.053141968E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.873452306E0,4.675936965E1,1.203297453E1,1.057483852E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
6.873455524E0,4.675936965E1,1.203297453E1,1.057445400E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
7.873441339E0,4.675936965E1,1.203297453E1,1.057418179E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
8.873442769E0,4.675936965E1,1.203297453E1,1.057395840E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
9.873441696E0,4.675936965E1,1.203297453E1,1.057321011E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.087344134E1,4.675936965E1,1.203297453E1,1.057280849E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.187342906E1,4.675936965E1,1.203297453E1,1.057290493E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
