"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.548520022E0,3.823868537E-1,-8.571496283E-1
2.175900000E-2,-1.196174992E0,-1.383047126E-1,-7.319485351E-1
4.351800000E-2,-1.003032981E0,-7.803016098E-2,-9.517278298E-1
6.527900000E-2,-1.370683536E0,3.579073392E-1,-1.886622403E0
8.703600000E-2,-1.073080359E0,1.050034490E-1,-1.657659033E0
1.087950000E-1,-8.851138640E-1,1.910370869E-1,-1.610437065E0
1.305530000E-1,-6.504230730E-1,1.948717458E-1,-1.424708446E0
1.523200000E-1,-4.425718790E-1,4.479354202E-1,-1.539961452E0
1.740720000E-1,-2.823444108E-1,3.179366501E-1,-1.589322916E0
1.958310000E-1,-1.090341778E0,2.012940899E-1,-1.418090421E0
2.175900000E-1,-1.526457015E0,5.199364258E-1,-1.433244065E0
2.393740000E-1,-1.566720796E0,5.137146594E-1,-1.822843313E0
2.611130000E-1,-1.937106678E0,5.081641169E-1,-1.691744792E0
2.828990000E-1,-2.027731065E0,1.246210951E-1,-1.743389447E0
3.046570000E-1,-2.088666362E0,-2.045997402E-1,-1.748815663E0
3.264170000E-1,-1.320820235E0,-1.830518186E-1,-1.370341766E0
3.481710000E-1,8.995149166E-2,5.092849185E-1,-2.413075002E0
3.699420000E-1,4.637209291E-1,4.228845597E-1,-2.552968321E0
3.916930000E-1,-9.024306673E-2,5.648620455E-2,-1.741960826E0
4.134760833E-1,-1.519614329E-1,7.490653087E-1,-2.005640139E0
4.352350833E-1,4.165481513E-1,9.096537145E-2,-4.691871255E-1
4.569940833E-1,7.714050347E-1,-1.200744464E-1,-2.026249089E0
4.787530833E-1,-3.532896833E-1,1.052760627E0,-3.510536131E0
5.005260833E-1,-1.109354730E0,1.337869692E0,-2.943093965E0
5.222710833E-1,-5.614265504E-1,1.239399657E0,-1.809674653E0
5.440270833E-1,-8.853158853E-1,4.033084471E-1,-1.057465881E0
5.657890833E-1,-1.133340448E0,3.642720700E-1,-9.704112918E-1
5.875790833E-1,-1.772830031E0,4.246285283E-1,-1.515625340E0
6.093390833E-1,-2.982156289E0,3.370324139E-1,-2.034469543E0
6.310950833E-1,-3.941659234E0,4.499726998E-1,-1.535735085E0
6.528500833E-1,-3.414696758E0,-3.490879107E-3,-1.412861841E0
6.746150833E-1,-2.678480852E0,-2.662831875E-1,-1.661271589E0
6.963740833E-1,-2.173292090E0,-1.069266896E-1,-1.684639547E0
7.181330833E-1,-1.877972032E0,-8.876500938E-1,-1.324550027E0
7.398930833E-1,-1.340212087E0,-1.586541688E0,-3.212548353E-1
7.616510833E-1,5.682516490E-2,-2.114784558E0,-6.139664143E-1
7.834100833E-1,9.983680724E-1,-1.719529445E0,-1.904725821E0
8.051690833E-1,8.896499147E-1,-1.076253423E0,-2.712169292E0
8.269280833E-1,5.476056330E-1,-8.901223697E-1,-2.588146340E0
8.487070833E-1,-2.264398764E-1,-1.200190275E0,-2.531580668E0
8.704670833E-1,-3.375931618E-1,-9.249871239E-1,-2.144271044E0
8.922360833E-1,-1.111497150E0,-8.670644595E-1,-2.150561040E0
9.139960833E-1,-2.074103286E0,-7.191030794E-1,-1.794150441E0
9.357550833E-1,-2.062976035E0,-9.047352194E-1,-1.161726560E0
9.575130833E-1,-2.098921647E0,-1.191584343E0,-3.420676340E-1
9.792730833E-1,-1.633842300E0,-1.336349124E0,-1.606571836E-1
1.001037083E0,-1.782762404E0,-1.376014442E0,-1.140441398E-1
1.022791083E0,-1.732207085E0,-1.235442554E0,-3.143219014E-1
1.044556083E0,-1.241658437E0,-1.001615689E0,-8.731669061E-1
1.066303083E0,-6.953845800E-1,-6.683567758E-1,-1.531836307E0
1.088067083E0,-6.426431333E-1,-5.734385587E-1,-1.638996474E0
1.109826083E0,-1.200123106E0,-8.764660513E-1,-5.267260664E-1
1.131585083E0,-2.441100415E0,-1.314141984E0,9.613516159E-1
1.153357083E0,-3.233706430E0,-2.276294302E0,2.598501467E0
1.175134083E0,-3.682298968E0,-2.819564517E0,3.732243252E0
1.196894083E0,-2.284896434E0,-3.161268199E0,4.028093653E0
1.218652083E0,-1.798074069E0,-2.922574331E0,2.887029399E0
1.240394083E0,-1.712564388E0,-2.264977747E0,2.105328149E0
1.262153083E0,-1.482084104E0,-1.520092029E0,1.059615683E0
