"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.589206219E1,-2.046825218E1,3.965318680E1
2.173800000E-2,-1.587720776E1,-2.049880028E1,3.964335632E1
4.351600000E-2,-1.588146019E1,-2.048455429E1,3.964901733E1
6.527500000E-2,-1.588350964E1,-2.046854591E1,3.965645981E1
8.701600000E-2,-1.588850784E1,-2.044333458E1,3.966746140E1
1.087930000E-1,-1.588972855E1,-2.044352150E1,3.966687775E1
1.305520000E-1,-1.589392376E1,-2.044051552E1,3.966674805E1
1.523030000E-1,-1.591207981E1,-2.037969780E1,3.969075394E1
1.740700000E-1,-1.590834236E1,-2.037137985E1,3.969651413E1
1.958290000E-1,-1.592290974E1,-2.032743454E1,3.971320724E1
2.175880000E-1,-1.594209290E1,-2.026838303E1,3.973568344E1
2.393480000E-1,-1.593872738E1,-2.026887321E1,3.973678207E1
2.611060000E-1,-1.596472549E1,-2.019125557E1,3.976585007E1
2.828650000E-1,-1.599262905E1,-2.011119080E1,3.979520035E1
3.046230000E-1,-1.598159885E1,-2.011124992E1,3.979960251E1
3.263840000E-1,-1.598032761E1,-2.009792137E1,3.980684280E1
3.481420000E-1,-1.598497009E1,-2.006875610E1,3.981969070E1
3.699320000E-1,-1.600957489E1,-1.999200058E1,3.984841156E1
3.916610000E-1,-1.601457405E1,-1.996551704E1,3.985967255E1
4.134310000E-1,-1.599297237E1,-2.000094986E1,3.985058212E1
4.352090000E-1,-1.597967720E1,-2.002824020E1,3.984220886E1
4.569680000E-1,-1.597055340E1,-2.005715752E1,3.983131409E1
4.787270000E-1,-1.595504856E1,-2.008869934E1,3.982164001E1
5.004760000E-1,-1.598196411E1,-2.001339531E1,3.984875107E1
5.222450000E-1,-1.600843430E1,-1.993621826E1,3.987680435E1
5.440040000E-1,-1.600361443E1,-1.994486237E1,3.987441254E1
5.657630000E-1,-1.598755455E1,-1.997665024E1,3.986494446E1
5.875110000E-1,-1.596063805E1,-2.003755760E1,3.984515381E1
6.092810000E-1,-1.594132423E1,-2.006595612E1,3.983859634E1
6.310360000E-1,-1.593278027E1,-2.007894516E1,3.983547211E1
6.527990000E-1,-1.593969917E1,-2.004933739E1,3.984760666E1
6.745580000E-1,-1.596566010E1,-1.997588348E1,3.987410355E1
6.963160000E-1,-1.595229149E1,-1.999664307E1,3.986904907E1
7.180760000E-1,-1.594952869E1,-1.999252510E1,3.987221527E1
7.398350000E-1,-1.593499088E1,-2.001431847E1,3.986709976E1
7.616070000E-1,-1.596709824E1,-1.991942406E1,3.990176392E1
7.833610000E-1,-1.595078659E1,-1.995680618E1,3.988960266E1
8.051430000E-1,-1.597580051E1,-1.988086319E1,3.991750336E1
8.269020000E-1,-1.600253677E1,-1.980607986E1,3.994396591E1
8.486620000E-1,-1.597077656E1,-1.986255836E1,3.992862701E1
8.704200000E-1,-1.595044231E1,-1.990678596E1,3.991472626E1
8.921570000E-1,-1.595416355E1,-1.989064407E1,3.992128372E1
9.139380000E-1,-1.598336601E1,-1.981441116E1,3.994750595E1
9.356970000E-1,-1.600969315E1,-1.973910522E1,3.997423172E1
9.574560000E-1,-1.596843147E1,-1.982917976E1,3.994614792E1
9.792150000E-1,-1.593996143E1,-1.988248062E1,3.993102264E1
1.000974000E0,-1.591948128E1,-1.992620087E1,3.991740417E1
1.022733000E0,-1.590564728E1,-1.993872070E1,3.991666412E1
1.044492000E0,-1.590601730E1,-1.994194794E1,3.991490173E1
1.066252000E0,-1.589375401E1,-1.995322990E1,3.991414642E1
1.088004000E0,-1.589410400E1,-1.994353676E1,3.991885757E1
1.109769000E0,-1.587973022E1,-1.996472740E1,3.991398621E1
1.131529000E0,-1.586914730E1,-1.997927475E1,3.991091156E1
1.153287000E0,-1.589539719E1,-1.990492249E1,3.993760681E1
1.175077000E0,-1.592077827E1,-1.983175659E1,3.996388245E1
1.196836000E0,-1.589883518E1,-1.987421799E1,3.995152664E1
1.218595000E0,-1.589630222E1,-1.987878418E1,3.995026779E1
1.240354000E0,-1.590331268E1,-1.986024857E1,3.995669556E1
1.262111000E0,-1.592987061E1,-1.978261566E1,3.998461533E1
1.283881000E0,-1.592741489E1,-1.976727486E1,3.999317551E1
1.305631000E0,-1.595473385E1,-1.969407845E1,4.001839066E1
1.327385000E0,-1.598111916E1,-1.961858559E1,4.004493713E1
1.349144000E0,-1.596408844E1,-1.965543747E1,4.003366089E1
1.370909000E0,-1.598979664E1,-1.957862473E1,4.006102371E1
1.392665000E0,-1.593870735E1,-1.968203354E1,4.003070831E1
1.414426000E0,-1.589183617E1,-1.978583336E1,3.999815369E1
1.436185000E0,-1.585184860E1,-1.985873604E1,3.997789001E1
1.457944000E0,-1.584383297E1,-1.987070656E1,3.997512054E1
1.479707000E0,-1.584399509E1,-1.985268021E1,3.998401260E1
1.501488000E0,-1.580708599E1,-1.991579437E1,3.996722412E1
