"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,9.282287955E-2,3.597451374E-2,-1.265880279E-2
2.175900000E-2,9.052404761E-2,3.974091634E-2,-1.542096119E-2
4.351700000E-2,9.291511774E-2,4.219453037E-2,-1.299908850E-2
6.530700000E-2,9.662361443E-2,4.219522327E-2,-1.410085987E-2
8.706700000E-2,9.529084712E-2,4.093322530E-2,-9.287731722E-3
1.088170000E-1,9.531820565E-2,3.846844286E-2,-1.043631230E-2
1.305640000E-1,9.533782303E-2,4.094656929E-2,-1.290279068E-2
1.523430000E-1,9.407317638E-2,3.722531348E-2,-1.164791826E-2
1.741020000E-1,9.160821140E-2,3.598450869E-2,-1.168850623E-2
1.958610000E-1,9.771591425E-2,3.720770031E-2,-1.034014672E-2
2.176370000E-1,9.397307038E-2,3.965411708E-2,-1.050005481E-2
2.393790000E-1,9.280736744E-2,3.719240800E-2,-1.529788878E-2
2.611380000E-1,9.269125760E-2,3.715785220E-2,-1.288900059E-2
2.829290000E-1,9.014322609E-2,3.713252395E-2,-1.175371557E-2
3.046870000E-1,9.505670518E-2,3.958460316E-2,-1.528782677E-2
3.264470000E-1,9.498180449E-2,3.708399087E-2,-1.282196119E-2
3.482060000E-1,9.372691810E-2,3.707866371E-2,-1.165150106E-2
3.699640000E-1,9.604502469E-2,3.826894239E-2,-1.040751114E-2
3.917230000E-1,8.732846379E-2,3.823433071E-2,-1.064944733E-2
4.134780000E-1,8.842022717E-2,3.941509873E-2,-1.064471994E-2
4.352410000E-1,9.212939441E-2,3.693039343E-2,-1.410026290E-2
4.570000000E-1,9.194920212E-2,3.686819971E-2,-1.169201452E-2
4.787590000E-1,9.561600536E-2,3.808760270E-2,-1.402753871E-2
5.005480000E-1,9.313314408E-2,3.808334097E-2,-1.289143320E-2
5.223070000E-1,9.152323753E-2,3.918135166E-2,-8.137593977E-3
5.440670000E-1,9.152368456E-2,4.164784774E-2,-1.301454753E-2
5.658260000E-1,9.133005887E-2,3.787226602E-2,-1.172723155E-2
5.875850000E-1,9.376978129E-2,3.539392725E-2,-1.039724890E-2
6.093280000E-1,8.865105361E-2,3.654433414E-2,-1.056500338E-2
