,Time (s),X (µT),Y (µT),Z (µT)
98,2133323917.0,-17.96720695,-22.62524414,41.78547668
99,2155096917.0,-17.94287491,-22.6472168,41.7840271
100,2176841917.0,-17.9255619,-22.67332077,41.7773056
101,2198622917.0,-17.91196632,-22.69564629,41.77100754
102,2220390917.0,-17.91344261,-22.6644783,41.78730011
103,2242149917.0,-17.91224098,-22.66095734,41.78971863
104,2263909917.0,-17.89517021,-22.68417168,41.7844429
105,2285648917.0,-17.92082596,-22.6083622,41.81451797
106,2307426917.0,-17.91770363,-22.6029377,41.81878662
107,2329186917.0,-17.90061951,-22.63344955,41.80960083
108,2350944917.0,-17.88857841,-22.64758301,41.8071022
109,2372703917.0,-17.88939476,-22.63173676,41.81533051
110,2394479917.0,-17.89442825,-22.59956551,41.83057404
111,2416234917.0,-17.86929321,-22.63258171,41.82346725
112,2438011917.0,-17.84843826,-22.6692028,41.81254196
113,2459770917.0,-17.82574081,-22.71155357,41.7992363
114,2481530917.0,-17.80517578,-22.74659729,41.78895187
115,2503288917.0,-17.78709984,-22.77184677,41.78289795
116,2525060917.0,-17.81121826,-22.69915962,41.81216049
117,2546838917.0,-17.80675697,-22.70056343,41.81330109
118,2568597917.0,-17.80118561,-22.71040344,41.81032944
119,2590344917.0,-17.7926445,-22.74698257,41.79407501
120,2612114917.0,-17.79271126,-22.74391365,41.79571152
121,2633873917.0,-17.78669739,-22.73588943,41.80264282
122,2655637917.0,-17.75107002,-22.76330566,41.80286789
123,2677391917.0,-17.72515678,-22.79920006,41.79429626
124,2699154917.0,-17.70305824,-22.86436272,41.76805878
125,2720939917.0,-17.694767,-22.88032341,41.76283646
126,2742699917.0,-17.67626953,-22.90298653,41.75824356
127,2764457917.0,-17.67209625,-22.8842907,41.77026367
128,2786210917.0,-17.69594574,-22.81208801,41.79964447
129,2807976917.0,-17.69037437,-22.84954834,41.78154373
130,2829735917.0,-17.6698494,-22.88939476,41.76841736
131,2851525917.0,-17.63829041,-22.90122223,41.77527237
