"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675937437E1,1.203295294E1,1.055956543E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.539650440E-1,4.675937453E1,1.203295152E1,1.053611816E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.841732979E0,4.675937660E1,1.203293968E1,1.053275391E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.094663024E0,4.675936537E1,1.203295793E1,1.048728237E3,1.149999976E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.699962974E0,4.675935951E1,1.203295458E1,1.048715542E3,1.149999976E0,-1.000000000E0,5.000000000E1,5.000000000E1
