"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.871583000E0,8.555500954E-2,3.254804015E-2,-1.363964379E-2
1.893341000E0,9.042124450E-2,3.499396890E-2,-1.476405747E-2
1.915107000E0,8.786520362E-2,3.867378831E-2,-1.250821818E-2
1.936859000E0,8.782947809E-2,3.865377977E-2,-1.371358987E-2
1.958648000E0,8.786039054E-2,3.617655858E-2,-1.727218926E-2
1.980383000E0,8.655703068E-2,3.492354229E-2,-1.366387215E-2
2.002166000E0,8.404195309E-2,3.614779562E-2,-1.135118399E-2
2.023926000E0,8.770666271E-2,3.414772823E-2,-1.497545000E-2
2.045684000E0,8.884504437E-2,3.411735967E-2,-1.253189240E-2
2.067443000E0,8.752422035E-2,3.903781250E-2,-1.026968192E-2
2.089202000E0,8.507357538E-2,3.780503571E-2,-1.031016279E-2
2.110966000E0,8.997991681E-2,3.285475448E-2,-8.855010383E-3
2.132745000E0,8.631033450E-2,3.656581789E-2,-1.145262178E-2
2.154510000E0,9.247104079E-2,3.408733755E-2,-1.363422815E-2
2.176270000E0,8.376793563E-2,3.530171141E-2,-1.028868929E-2
2.198028000E0,9.002077579E-2,3.408704326E-2,-1.490794308E-2
2.219787000E0,8.991640806E-2,3.528768569E-2,-1.252717432E-2
2.241549000E0,8.495689183E-2,3.650866076E-2,-1.269321144E-2
2.263305000E0,9.230810404E-2,3.772892430E-2,-1.372028887E-2
2.285064000E0,8.730620891E-2,3.770623356E-2,-1.144828647E-2
2.306854000E0,8.733209968E-2,3.400074318E-2,-1.256857347E-2
2.328613000E0,8.729986846E-2,3.522925824E-2,-1.139198896E-2
2.350372000E0,8.488145471E-2,3.276796639E-2,-1.260905247E-2
2.372131000E0,8.856806904E-2,3.523090482E-2,-1.497240644E-2
2.393890000E0,8.480083197E-2,3.273431584E-2,-1.260980498E-2
2.415658000E0,8.482240885E-2,3.397561610E-2,-1.384284999E-2
2.437408000E0,8.726358414E-2,3.891151026E-2,-1.509200968E-2
2.459168000E0,8.354366571E-2,3.643146157E-2,-1.393384766E-2
2.480926000E0,8.973710984E-2,3.025798686E-2,-1.482573990E-2
2.502716000E0,8.724919707E-2,3.766956553E-2,-1.506382693E-2
2.524475000E0,8.963142335E-2,3.269165382E-2,-1.367820520E-2
2.546234000E0,8.471589535E-2,3.516373038E-2,-1.507709548E-2
2.567993000E0,8.835137635E-2,3.391284123E-2,-1.253617369E-2
2.589752000E0,8.464585990E-2,3.267473727E-2,-1.140619442E-2
2.611524000E0,8.712491393E-2,3.390965611E-2,-1.377559826E-2
2.633270000E0,8.461651206E-2,3.512534127E-2,-1.387316268E-2
2.655029000E0,8.704504371E-2,3.634936363E-2,-1.383280754E-2
2.676818000E0,9.193541110E-2,3.510380164E-2,-1.246234402E-2
2.698577000E0,8.712573349E-2,3.636853769E-2,-1.744724996E-2
2.720322000E0,8.818278462E-2,3.384718299E-2,-1.133265253E-2
2.742087000E0,8.573137969E-2,3.507974371E-2,-1.383948606E-2
2.763849000E0,8.574607223E-2,3.507705778E-2,-1.624938473E-2
2.785614000E0,8.692558855E-2,3.382830322E-2,-1.377717219E-2
2.807367000E0,8.929755539E-2,3.750712797E-2,-1.258878410E-2
2.829132000E0,8.546075225E-2,3.747083619E-2,-6.667940877E-3
2.850921000E0,8.805705607E-2,3.378836066E-2,-1.374355890E-2
2.872680000E0,9.044452757E-2,3.500027210E-2,-1.249855570E-2
2.894439000E0,8.928345889E-2,3.624755144E-2,-1.738070138E-2
2.916698167E0,9.099135548E-2,2.865061909E-2,1.779699326E-2
2.938451167E0,1.379227918E-2,-1.412900984E-1,8.681193590E-1
2.960210167E0,1.776304692E-1,-1.170327425E0,1.401170492E0
2.981980167E0,2.265948206E-1,-8.537183404E-1,1.066260219E0
3.003729167E0,6.507223845E-2,-2.033562183E0,-4.133812487E-1
3.025517167E0,-3.523454666E-1,-4.434603214E0,-2.549854279E0
3.047277167E0,-1.647022247E0,-7.198857307E0,-3.312806129E0
3.069036167E0,-1.401363254E0,-8.446190834E0,-3.534329891E0
3.090795167E0,-4.944795072E-1,-8.232938766E0,-2.428946733E0
3.112554167E0,1.436996460E-1,-7.801410198E0,-1.003342986E0
3.134327167E0,6.887219548E-1,-7.891621113E0,-1.350276321E-1
3.156072167E0,7.810576558E-1,-8.025086403E0,1.056456715E-1
3.177832167E0,5.012850761E-1,-9.109698296E0,-2.270848751E-1
3.199621167E0,4.341273010E-1,-9.998226166E0,-1.703480005E0
3.221380167E0,1.191506743E0,-1.054995728E1,-2.540073872E0
3.243126167E0,1.371262908E0,-9.642519951E0,-2.312187910E0
3.264898167E0,1.107482195E0,-8.141426086E0,-1.279665828E0
3.286658167E0,1.193407655E0,-6.486371040E0,-9.183146358E-1
3.308425167E0,2.058089018E0,-5.306403160E0,-7.172561288E-1
3.330176167E0,2.755882502E0,-4.285599232E0,-5.195163563E-2
3.351934167E0,2.994454622E0,-3.437222242E0,3.609403074E-1
3.373723167E0,2.682023287E0,-2.863426924E0,4.717544317E-1
3.395483167E0,2.178119183E0,-2.653235912E0,4.866391122E-1
3.417224167E0,1.804786325E0,-2.464370012E0,5.466432571E-1
3.439001167E0,1.469563484E0,-2.205714941E0,4.807622135E-1
3.460760167E0,1.410537243E0,-1.819411993E0,2.895147204E-1
3.482519167E0,1.208233237E0,-1.498764634E0,-7.420969009E-2
3.504296167E0,8.414520025E-1,-1.351900816E0,-2.433026433E-1
3.526037167E0,8.111593127E-1,-8.155062199E-1,-1.032581925E-1
3.547827167E0,7.915486097E-1,-3.965814710E-1,2.989214063E-1
3.569585167E0,4.856564701E-1,5.456458777E-2,2.535917163E-1
3.591344167E0,3.136911094E-1,1.429914981E-1,-9.797700495E-2
3.613082167E0,4.516476393E-1,-4.245345667E-2,-7.302744687E-2
3.634862167E0,6.037564874E-1,5.474100262E-2,-2.758991905E-2
3.656621167E0,5.852745771E-1,3.103367090E-1,-2.548078261E-2
3.678381167E0,5.179229379E-1,6.841216683E-1,4.851618782E-2
3.700140167E0,5.836525559E-1,7.266061902E-1,1.771622896E-1
3.721924167E0,4.820950329E-1,4.371591806E-1,5.554104969E-2
3.743675167E0,2.941030264E-1,3.824001178E-2,-1.335109025E-1
3.765448167E0,1.520440131E-1,4.370574281E-2,-2.111288905E-1
3.787206167E0,-1.868084446E-2,4.029859900E-1,-1.818818301E-1
3.808967167E0,1.026650146E-1,4.937182963E-1,-7.809178531E-2
3.830724167E0,4.337013960E-1,4.442176223E-1,1.299774796E-1
3.852483167E0,4.988701046E-1,2.482155710E-1,6.031475961E-2
3.874242167E0,2.880154848E-1,1.727195680E-1,-1.102114767E-1
3.896032167E0,1.179024875E-1,1.615861356E-1,-8.337322623E-2
3.917791167E0,1.333062053E-1,5.665732920E-2,-9.019997716E-2
3.939551167E0,2.265516967E-1,-9.302031249E-2,-5.164332688E-2
3.961309167E0,2.427141517E-1,4.705822468E-2,7.460328937E-2
3.983080167E0,-6.359817386E-1,1.947611421E-1,4.908994213E-2
4.004833167E0,-3.302181363E-1,1.878911108E-1,-3.255295455E-1
4.026586167E0,6.745448709E-2,2.002190948E-1,-1.435225010E-1
