"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675940776E1,1.203305033E1,1.052437988E3,-1.000000000E0,-1.000000000E0,4.997279335E2,4.997279335E2
8.039295673E-2,4.675937635E1,1.203294247E1,1.052677612E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
3.942519426E-1,4.675937631E1,1.203294234E1,1.052747192E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.140241981E0,4.675937868E1,1.203292961E1,1.052757568E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
