,Time (s),X (µT),Y (µT),Z (µT)
97,2111022000.0,21.9176693,-41.17573547,-22.03707314
98,2132781000.0,21.70587158,-41.30138397,-22.01156616
99,2154546000.0,21.03782654,-41.85658264,-21.60773659
100,2176300000.0,20.49072838,-42.45894623,-20.94817924
101,2198058000.0,20.13552475,-42.87322998,-20.44272614
102,2219848000.0,19.97524071,-43.2650032,-19.76328468
103,2241596000.0,20.62722206,-43.38477325,-18.80790329
104,2263361000.0,21.41862106,-43.21485901,-18.30783272
105,2285122000.0,22.2232151,-42.96431351,-17.93473244
106,2306884000.0,22.56084442,-42.86591339,-17.74768257
107,2328643000.0,22.73678207,-42.89212799,-17.4574337
108,2350402000.0,22.72703934,-43.02039719,-17.15182877
109,2372191000.0,22.54209328,-43.21822357,-16.89667702
110,2393950000.0,22.36266136,-43.35505676,-16.78417969
111,2415709000.0,22.26047897,-43.43513107,-16.71282768
112,2437468000.0,22.19841576,-43.52887344,-16.55070114
113,2459241000.0,22.09057045,-43.74105072,-16.1302681
114,2480986000.0,22.04720879,-43.85501099,-15.87818909
115,2502745000.0,22.13254929,-43.92938614,-15.55047226
116,2524510000.0,22.33868217,-43.92941284,-15.25279617
117,2546271000.0,22.49601364,-44.01947403,-14.75376701
118,2568053000.0,22.50785828,-44.12388611,-14.42001724
119,2589813000.0,22.34187317,-44.26192474,-14.25415611
120,2611571000.0,22.22932243,-44.34020233,-14.18667603
121,2633330000.0,22.11806107,-44.43247604,-14.07140923
122,2655087000.0,21.95253181,-44.55905914,-13.92963982
123,2676848000.0,21.7154026,-44.71572876,-13.79866028
124,2698638000.0,21.28357697,-44.85977173,-14.00243568
125,2720398000.0,21.00547791,-44.87751007,-14.36095428
126,2742136000.0,21.11613274,-44.82064438,-14.37625885
127,2763916000.0,21.15385056,-44.7826004,-14.43924141
