"Time (s)","Distance (cm)"
0.000000000E0,5.000000000E0
2.527971983E0,0.000000000E0
2.667727947E0,5.000000000E0
4.281309962E0,0.000000000E0
4.643496990E0,5.000000000E0
4.893686056E0,0.000000000E0
5.363471031E0,5.000000000E0
