,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
124,2698272000.0,0.2792132795,0.09812927246,-0.3712329566
125,2720026000.0,0.3070563376,-0.1235585436,-0.2496932
126,2741780000.0,0.3142183721,-0.06580656022,-0.1977676898
127,2763549000.0,0.2951859236,-0.1283308864,-0.04740587994
128,2785308000.0,0.5066518188,-0.002429310698,-0.2999060452
129,2807053000.0,0.7325572968,0.2420617938,-0.5643424988
130,2828826000.0,0.7757872343,0.2849923968,-0.7485395074
131,2850595000.0,0.7485358715,0.2685964704,-0.6802195311
132,2872344000.0,0.8158906102,0.3115318418,-0.4044769108
133,2894103000.0,0.8658400178,0.5738844872,-0.05706329271
134,2915864000.0,0.5881087184,1.056898594,0.1700947583
135,2937652000.0,0.1125926524,1.307242632,0.06070169061
136,2959411000.0,-0.0539441891,1.016347528,-0.012075576
137,2981160000.0,0.3744309545,0.2661587298,0.06035415083
138,3002929000.0,1.070110679,-0.1227432042,0.1899017543
139,3024693000.0,1.225919843,0.08112198114,0.1679631025
140,3046448000.0,0.6755558848,0.3976478875,-0.07039114088
141,3068206000.0,0.2949070334,0.4405997694,-0.2013462335
142,3089966000.0,0.4082916677,0.2303850055,-0.3910852671
143,3111728000.0,0.4177572429,0.2361789644,-0.3210380077
144,3133489000.0,0.3214570284,0.480022639,-0.1882408112
145,3155243000.0,0.2970528305,0.5175135732,-0.03909178823
146,3177001000.0,0.2383900583,0.3176641166,-0.06511752307
147,3198760000.0,0.1851521432,0.2860518694,-0.1502665132
148,3221032000.0,0.2723355591,0.1844893843,-0.1250187904
149,3242812000.0,0.3746275008,0.1601226628,0.03148345649
150,3264550000.0,0.4621667266,0.1997337937,0.2295177579
151,3286309000.0,0.3774605393,0.1778547317,0.1758140475
152,3308088000.0,0.2070712,0.08062854409,0.1238530129
153,3329852000.0,0.1917488873,-0.01809922978,0.1160262525
154,3351611000.0,0.2123103738,0.02107267454,0.1771868169
155,3373376000.0,0.2380658686,0.1084996611,0.2156980336
156,3395135000.0,0.2473008782,0.07897569239,0.1937245578
157,3416876000.0,0.1912217289,0.1266818941,0.05365400761
158,3438653000.0,0.3239709139,0.163329348,0.09873409569
159,3460412000.0,0.4577587247,-0.04077038541,0.1493051201
160,3482171000.0,0.3615010083,-0.04668825865,0.1142022684
161,3503907000.0,0.2469198406,0.1461562216,0.08612527698
162,3525689000.0,0.2453835756,0.263813287,0.01951961592
163,3547448000.0,0.3090959489,0.2244590521,-0.01878862455
164,3569207000.0,0.286714524,0.164753139,0.06030612066
165,3590966000.0,0.09104783833,0.2179788053,0.06206353754
166,3612738000.0,0.03782149777,0.1962583214,-0.02572090738
167,3634484000.0,-0.01000952162,0.1419601589,-0.0185966827
168,3656243000.0,0.02937754616,0.1156303957,-0.1808340549
169,3678002000.0,0.09460260719,0.1675526202,-0.1970712245
