"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.347896290E1,-2.543363571E1,3.830859375E1
2.176400000E-2,-1.348692989E1,-2.541696167E1,3.831686020E1
4.352300000E-2,-1.349436569E1,-2.538387299E1,3.833616638E1
6.528200000E-2,-1.350053310E1,-2.535314941E1,3.835432434E1
8.705400000E-2,-1.349990082E1,-2.532527733E1,3.837295532E1
1.088000000E-1,-1.350676250E1,-2.529139519E1,3.839288330E1
1.305600000E-1,-1.351189327E1,-2.527725983E1,3.840038681E1
1.523180000E-1,-1.352717209E1,-2.522612381E1,3.842862320E1
1.741080000E-1,-1.353455353E1,-2.519901276E1,3.844380951E1
1.958600000E-1,-1.353650665E1,-2.517672157E1,3.845772552E1
2.176070000E-1,-1.354180717E1,-2.514813423E1,3.847455597E1
2.393850000E-1,-1.354359531E1,-2.512171745E1,3.849118042E1
2.611440000E-1,-1.354828930E1,-2.509158134E1,3.850917816E1
2.829000000E-1,-1.354547024E1,-2.508210564E1,3.851634598E1
3.046620000E-1,-1.355203533E1,-2.505661201E1,3.853062820E1
3.264210000E-1,-1.356264114E1,-2.501481628E1,3.855404282E1
3.481810000E-1,-1.356863403E1,-2.499396706E1,3.856545258E1
3.699710000E-1,-1.357146549E1,-2.497010040E1,3.857992172E1
3.917290000E-1,-1.357269478E1,-2.494547653E1,3.859540939E1
4.134880000E-1,-1.357155609E1,-2.493977547E1,3.859950256E1
4.352470000E-1,-1.357634163E1,-2.492062569E1,3.861018372E1
4.570090000E-1,-1.358074856E1,-2.490304184E1,3.861997986E1
4.787620000E-1,-1.358284092E1,-2.489014626E1,3.862755203E1
5.005180000E-1,-1.358413601E1,-2.486937523E1,3.864047623E1
5.222830000E-1,-1.358552265E1,-2.484948921E1,3.865277100E1
5.440730000E-1,-1.358716965E1,-2.483199692E1,3.866343689E1
5.658070000E-1,-1.358794212E1,-2.481748581E1,3.867248917E1
5.875730000E-1,-1.358726978E1,-2.480314064E1,3.868192673E1
6.093500000E-1,-1.358791161E1,-2.478709793E1,3.869197845E1
6.311030000E-1,-1.358887959E1,-2.477178383E1,3.870144653E1
6.528680000E-1,-1.358245087E1,-2.477487946E1,3.870172119E1
6.746270000E-1,-1.358749294E1,-2.474255180E1,3.872062683E1
6.963980000E-1,-1.358632374E1,-2.473139763E1,3.872816467E1
7.181450000E-1,-1.358472729E1,-2.472007179E1,3.873594666E1
7.399340000E-1,-1.358603668E1,-2.470936584E1,3.874232483E1
7.616930000E-1,-1.358901691E1,-2.469509125E1,3.875037766E1
7.834570000E-1,-1.358292580E1,-2.469592476E1,3.875197983E1
8.052110000E-1,-1.358072758E1,-2.468345070E1,3.876069641E1
8.269800000E-1,-1.357942200E1,-2.466643524E1,3.877198410E1
