"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.675944974E1,1.203265141E1,1.056130127E3,-1.000000000E0,-1.000000000E0,1.652384427E2,1.652384427E2
9.167003632E-2,4.675942916E1,1.203271038E1,1.054976196E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
5.447160006E-1,4.675941887E1,1.203273985E1,1.054323242E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
1.875630975E0,4.675941359E1,1.203275498E1,1.053897461E3,-1.000000000E0,-1.000000000E0,1.650000000E2,1.650000000E2
