,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
80,1592927083.0,0.1757345581,-0.1354682922,-9.771230621
81,1612536083.0,0.1577719116,-0.1612147522,-9.783205719
82,1632155083.0,0.1589694214,-0.1686991882,-9.775870972
83,1651764083.0,0.1333726501,-0.1236428833,-9.792187042
84,1671387083.0,0.1537303162,-0.07649093628,-9.790839844
85,1690980083.0,0.1675016785,-0.0477507019,-9.783205719
86,1710602083.0,0.1615141296,-0.0983454895,-9.803264008
87,1730226083.0,0.1794767761,-0.1636097717,-9.77961319
88,1749818083.0,0.1850152588,-0.17902771,-9.795180817
89,1769429083.0,0.1646575928,-0.1342707825,-9.79952179
90,1789062083.0,0.1472937012,-0.08741821289,-9.787696381
91,1808656083.0,0.1363664246,-0.06077362061,-9.801617432
92,1828277083.0,0.1612147522,-0.100740509,-9.786798248
93,1847870083.0,0.1642085266,-0.1348695374,-9.802814941
94,1867481083.0,0.1742376709,-0.1606159973,-9.775272217
95,1887086083.0,0.1471440125,-0.1592687988,-9.80416214
96,1906709083.0,0.1565744019,-0.1278341675,-9.803114319
97,1926330083.0,0.1546284485,-0.08786727905,-9.807754669
98,1945923083.0,0.146844635,-0.04894821167,-9.814191284
99,1965532083.0,0.1419049072,-0.07080276489,-9.816885681
100,1985139083.0,0.1576222229,-0.1359173584,-9.811047821
101,2004746083.0,0.1782792664,-0.1904040527,-9.813442841
102,2024354083.0,0.1609153748,-0.1516346741,-9.80760498
103,2043971083.0,0.143102417,-0.09250762939,-9.820328522
104,2063594083.0,0.1562750244,-0.06915618896,-9.811047821
105,2083194083.0,0.1474433899,-0.08158035278,-9.807455292
106,2102818083.0,0.1478924561,-0.1204994202,-9.80296463
107,2122425083.0,0.1550775146,-0.1631607056,-9.797426147
108,2142030083.0,0.1770817566,-0.1531315613,-9.814490662
109,2161656083.0,0.172591095,-0.1258882141,-9.796977081
110,2181245083.0,0.1588197327,-0.1043330383,-9.806706848
111,2200868083.0,0.1703457642,-0.07020401001,-9.818382568
112,2220489083.0,0.1423539734,-0.08472381592,-9.824370117
113,2240083083.0,0.1350192261,-0.1260379028,-9.815987549
114,2259705083.0,0.1540296936,-0.1752854919,-9.792935486
115,2279328083.0,0.1579216003,-0.1511856079,-9.818083191
116,2298920083.0,0.1704954529,-0.1088237,-9.830357666
