"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.871566000E0,8.675431460E-2,3.396015242E-2,-1.615075581E-2
1.893320000E0,8.165370673E-2,3.636330739E-2,-1.273181383E-2
1.915083000E0,8.286316693E-2,3.386519477E-2,-1.625657827E-2
1.936873000E0,8.763368428E-2,3.134344146E-2,-1.485854853E-2
1.958632000E0,8.748340607E-2,3.377531469E-2,-1.371050347E-2
1.980391000E0,8.863396943E-2,3.497980535E-2,-1.491001248E-2
2.002148000E0,8.981446922E-2,3.247376159E-2,-1.602537185E-2
2.023909000E0,8.968512714E-2,3.342208266E-2,-1.736720093E-2
2.045668000E0,8.581714332E-2,3.583913669E-2,-1.270833425E-2
2.067427000E0,8.705163747E-2,3.088526241E-2,-1.497121528E-2
2.089188000E0,8.817253262E-2,3.456167132E-2,-1.381701790E-2
2.110945000E0,8.813991398E-2,3.454548120E-2,-1.502233930E-2
2.132735000E0,8.929111809E-2,3.204070032E-2,-1.493232697E-2
2.154495000E0,8.793893456E-2,3.570804372E-2,-1.264256611E-2
2.176253000E0,8.905144781E-2,3.689904511E-2,-1.022789162E-2
2.198022000E0,8.782523870E-2,3.441437706E-2,-1.261622179E-2
2.219772000E0,8.290209621E-2,3.317103535E-2,-1.513543073E-2
2.241530000E0,8.891408890E-2,3.436419368E-2,-1.258256845E-2
2.263289000E0,9.251394868E-2,3.433013707E-2,-1.127534360E-2
2.285042000E0,8.881771564E-2,3.679165244E-2,-1.384515781E-2
2.306838000E0,8.706498146E-2,3.447740525E-2,-4.759283736E-2
2.328597000E0,8.653049171E-2,3.216105700E-2,-8.130600303E-2
2.350356000E0,9.339644015E-2,2.834158763E-2,-6.053180248E-2
2.372115000E0,7.259479165E-2,2.944352478E-2,4.270579219E-1
2.393874000E0,-7.066155970E-2,8.049643785E-2,-1.036721170E-1
2.415633000E0,-2.856659889E-1,4.075279534E-1,-5.052648187E-1
2.437392000E0,-4.409869015E-1,6.961007714E-1,2.794086039E-1
