"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.871931083E0,8.483561128E-2,3.958325088E-2,-1.221440081E-2
1.893712083E0,9.458184242E-2,3.829663619E-2,-1.311758813E-2
1.915449083E0,8.719440550E-2,3.580541164E-2,-1.688298956E-2
1.937209083E0,8.576408774E-2,3.821038827E-2,-1.336063538E-2
1.958967083E0,8.314852417E-2,3.692037240E-2,-1.099264435E-2
1.980725083E0,8.925479650E-2,3.812285885E-2,-1.446483470E-2
2.002516083E0,8.555114269E-2,3.563047945E-2,-1.812708378E-2
2.024275083E0,8.321879804E-2,4.044283554E-2,-1.605385914E-2
2.046034083E0,9.165300429E-2,3.791231290E-2,-1.093843952E-2
2.067794083E0,8.798610419E-2,3.790654987E-2,-1.465676725E-2
2.089546083E0,8.664952964E-2,3.539479151E-2,-1.222595479E-2
2.111300083E0,8.659476787E-2,3.907698020E-2,-1.351627707E-2
2.133070083E0,9.136608988E-2,3.654782102E-2,-1.091394108E-2
2.154829083E0,8.766140044E-2,3.900580481E-2,-1.348386519E-2
2.176591083E0,8.892031014E-2,4.147133231E-2,-1.832602546E-2
2.198347083E0,9.127852321E-2,3.648964316E-2,-1.573546417E-2
2.220106083E0,9.236519784E-2,4.138655588E-2,-1.340520848E-2
2.241868083E0,9.610322118E-2,3.890905157E-2,-1.806587167E-2
2.263624083E0,9.224001318E-2,3.391038626E-2,-1.203284133E-2
2.285397083E0,8.735375851E-2,3.761588782E-2,-1.707499847E-2
2.307173083E0,9.211746603E-2,3.756451234E-2,-1.332380064E-2
2.328932083E0,8.838526905E-2,3.877889365E-2,-1.466069650E-2
2.350691083E0,9.314348549E-2,3.995987028E-2,-1.093793474E-2
2.372446083E0,9.064010531E-2,3.993181884E-2,-1.341733523E-2
2.394220083E0,8.815408498E-2,3.744032234E-2,-1.463524625E-2
2.415968083E0,8.554428071E-2,3.862858564E-2,-1.111852378E-2
2.437727083E0,9.057242423E-2,3.493487462E-2,-1.692104153E-2
2.459486083E0,8.918857574E-2,3.612048179E-2,-1.337003428E-2
2.481259083E0,8.540720493E-2,3.608629107E-2,-1.226909738E-2
2.503004083E0,9.149350226E-2,3.728560358E-2,-1.453618333E-2
2.524763083E0,8.529590070E-2,3.479118645E-2,-1.465227455E-2
2.546522083E0,8.890624344E-2,3.599486127E-2,-1.457802579E-2
2.568281083E0,8.518547565E-2,3.474079072E-2,-1.585831866E-2
2.590054083E0,8.999116719E-2,3.717040271E-2,-1.457328629E-2
2.611830083E0,8.872020245E-2,3.714627773E-2,-1.581337489E-2
2.633589083E0,8.979927748E-2,3.709623218E-2,-1.216534898E-2
2.655348083E0,9.099044651E-2,3.583715111E-2,-1.330829039E-2
2.677109083E0,8.973565698E-2,3.829069808E-2,-1.580947824E-2
2.698866083E0,8.218978345E-2,3.824038059E-2,-1.119720377E-2
2.720625083E0,8.712036163E-2,3.698912635E-2,-1.464696694E-2
2.742384083E0,8.823137730E-2,3.571147099E-2,-1.217538584E-2
2.764144083E0,9.316117316E-2,3.446297720E-2,-1.562478021E-2
2.785918083E0,8.440177888E-2,3.564790264E-2,-1.348491944E-2
2.807661083E0,8.687770367E-2,3.564385325E-2,-1.582620479E-2
2.829420083E0,9.048219770E-2,3.807930648E-2,-1.578051224E-2
2.851180083E0,9.156621993E-2,3.679353744E-2,-1.210432686E-2
2.872943083E0,8.780979365E-2,3.552360460E-2,-1.338498574E-2
2.894699083E0,8.778895438E-2,3.674336895E-2,-1.582328975E-2
2.916481083E0,9.011203051E-2,3.916920722E-2,-1.340206806E-2
2.938246083E0,9.125697613E-2,3.790519387E-2,-1.093026903E-2
2.960005083E0,9.367514402E-2,3.664386272E-2,-1.203893777E-2
2.981745083E0,8.508320898E-2,3.787655011E-2,-1.592256874E-2
3.003521083E0,8.496732265E-2,3.412088752E-2,-1.463409699E-2
3.025283083E0,9.182296693E-2,3.865975142E-2,-1.461404655E-2
3.047041083E0,8.806233853E-2,3.863524646E-2,-1.351279858E-2
3.068800083E0,8.916061372E-2,3.859346360E-2,-9.864582680E-3
3.090559083E0,8.678881079E-2,3.860655054E-2,-1.595779136E-2
3.112318083E0,9.162985533E-2,3.734016791E-2,-1.458778325E-2
3.134077083E0,8.470569551E-2,4.027203843E-2,1.273919642E-1
3.155837083E0,8.703896403E-2,3.928466141E-2,7.685093582E-2
3.177613083E0,1.295059472E-1,-9.896840155E-2,2.957467735E-1
