,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
4,2332244992.0,46.75937939,12.0329257,1052.685303,-1.0,-1.0,65.0,65.0
5,4660889983.0,46.75944531,12.03286445,1052.650146,-1.0,-1.0,65.0,65.0
