"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.573100254E0,1.346349178E0,-1.232856915E0
2.175900000E-2,-8.781179629E-1,1.169758734E0,-1.210075505E0
4.354800000E-2,-8.759369514E-1,2.854863208E-1,-3.398238015E-1
6.530700000E-2,-9.863948020E-1,9.218121589E-1,-2.411677079E0
8.706600000E-2,-3.557635307E-1,1.502123973E0,-3.072678496E0
1.088170000E-1,-5.314395435E-1,1.754165719E0,-2.748431385E0
1.305810000E-1,-5.885569002E-1,1.091957875E0,-5.814846198E-1
1.523430000E-1,-6.066630593E-1,-1.358828014E0,7.144830481E-1
1.741020000E-1,-1.104172782E0,1.368087080E0,-1.528830108E0
1.958630000E-1,-8.635529872E-1,1.985836496E0,-1.978757857E0
2.176210000E-1,-3.851719921E-1,1.310373015E0,-1.835166613E0
2.393800000E-1,-8.417123942E-1,1.161246504E0,-1.634985431E0
2.611390000E-1,-1.325244677E0,1.431783869E0,-1.248808997E0
2.828980000E-1,-2.696868591E0,4.742421896E-1,4.979237054E-1
3.046570000E-1,-3.129343863E0,9.854123235E-1,-2.306838768E-1
3.264230000E-1,-2.301430752E0,1.211038615E0,-3.050599300E-1
3.482050000E-1,-9.099703778E-1,6.879358850E-1,-7.259963619E-1
3.699550000E-1,4.574781858E-1,4.621534002E-1,-1.260579003E0
3.917230000E-1,6.785174093E-1,4.720046064E-1,-1.575214754E0
4.134830000E-1,8.172079559E-1,3.175682389E-1,-1.797289812E0
4.352410000E-1,6.698226728E-1,3.127862398E-1,-2.053778365E0
4.570010000E-1,4.080615756E-1,4.222749143E-1,-2.134222457E0
4.787590000E-1,-3.092458969E-1,5.032416384E-1,-2.030129739E0
5.005190000E-1,-1.218146929E0,1.584446703E-1,-1.814149527E0
5.222730000E-1,-1.795918639E0,2.845803313E-1,-1.154715164E0
5.440370000E-1,-2.374317026E0,2.846123083E-1,-8.811077173E-1
5.657960000E-1,-2.722124762E0,9.345276785E-2,-8.578091211E-1
5.875550000E-1,-2.600852340E0,-7.680703767E-3,-8.819450386E-1
6.093440000E-1,-2.444110123E0,-1.300810697E-1,-9.654610390E-1
6.311060000E-1,-2.034475244E0,-3.228173575E-1,-1.460358043E0
6.528620000E-1,-1.616812723E0,-3.805173161E-1,-1.665128851E0
6.746210000E-1,-1.332575623E0,-3.843414683E-1,-2.073353235E0
6.963800000E-1,-1.127794290E0,-3.566329385E-1,-2.236597263E0
7.181390000E-1,-7.379602768E-1,-2.070747935E-1,-2.513219241E0
7.399100000E-1,-2.353419515E-1,-1.742729186E-1,-2.585627652E0
7.616570000E-1,-3.606870690E-1,-1.780641254E-1,-2.299219919E0
7.834160000E-1,-6.207719155E-1,-5.024863243E-2,-2.103185290E0
8.051750000E-1,-1.035556802E0,-6.411233049E-2,-1.807744633E0
8.269520000E-1,-1.421523029E0,-4.193327051E-2,-1.421400238E0
8.487020000E-1,-1.727494960E0,9.587584488E-2,-1.279870722E0
8.704830000E-1,-1.454188792E0,2.148006281E-1,-1.120343330E0
8.922420000E-1,-1.324244657E0,3.297440057E-1,-1.087242169E0
9.140010000E-1,-1.183109097E0,6.323838280E-1,-1.221675358E0
9.357600000E-1,-7.384605061E-1,7.114036120E-1,-1.552734110E0
9.575190000E-1,-3.389152538E-1,9.069451746E-1,-1.946860418E0
9.792910000E-1,-1.770920075E-1,1.131553100E0,-2.247518254E0
1.001037000E0,-2.541605573E-1,1.288814769E0,-2.345129772E0
1.022796000E0,-3.025790478E-1,1.460411983E0,-2.420471876E0
1.044555000E0,-5.172787932E-1,1.571437599E0,-2.499530033E0
1.066315000E0,-6.453081480E-1,1.655119148E0,-2.296555782E0
1.088073000E0,-3.180693453E-1,1.584844387E0,-2.248804203E0
1.109832000E0,1.661730083E-1,1.446075488E0,-2.191910648E0
1.131595000E0,6.270100906E-1,1.636761669E0,-2.254209515E0
1.153381000E0,1.314070063E0,1.701062622E0,-2.285806114E0
1.175140000E0,2.012799616E0,1.782525738E0,-2.714631847E0
1.196900000E0,1.328992596E0,1.372012754E0,-2.656409074E0
1.218659000E0,2.173438856E0,1.712355496E0,-1.751647177E0
1.240415000E0,3.278824715E0,1.872577537E0,-1.706465888E0
1.262177000E0,4.407717698E0,2.896860615E0,-3.251470271E0
1.283935000E0,3.654988670E0,1.682578258E0,-3.418449208E0
1.305694000E0,1.306780047E0,1.096899650E0,-1.576357446E0
1.327453000E0,-4.644502230E-1,1.376284145E0,3.522080215E-1
1.349212000E0,6.810774665E-1,8.599135340E-1,9.804396321E-1
1.370971000E0,9.700432096E-1,2.399851159E-1,7.948437448E-1
1.392761000E0,-7.224617931E-1,-6.286179288E-1,9.740705524E-1
