,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
4,4825750470.0,46.75938847,12.03278795,1059.296108,0.0,0.0,10.0,10.0
5,5825751066.0,46.75938847,12.03278795,1059.374233,0.0,0.0,10.0,10.0
6,6825748086.0,46.75938847,12.03278795,1059.481167,0.0,0.0,10.0,10.0
7,7825734496.0,46.75938847,12.03278795,1059.527554,0.0,0.0,10.0,10.0
