,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
22,478776000.0,0.09092102945,0.03514769301,-0.01408961229
23,500535000.0,0.09451188147,0.03759178892,-0.0140439868
24,522294000.0,0.08587266505,0.03634120896,-0.01546184625
25,544053000.0,0.09070039541,0.03629968688,-0.01532524172
26,565843000.0,0.08931450546,0.03252632171,-0.01286633965
27,587594000.0,0.08670466393,0.03369779512,-0.01296464633
28,609361000.0,0.087771222,0.03487133607,-0.01175493095
29,631134000.0,0.08773060143,0.03483364359,-0.01778072678
30,652879000.0,0.08998236805,0.03848432004,-0.0153885996
31,674639000.0,0.08857481927,0.03347806633,-0.01290194411
32,696413000.0,0.08969541639,0.03836040571,-0.01539139356
33,718187000.0,0.08957989514,0.0345730558,-0.01530765276
34,739946000.0,0.09064246714,0.03696382046,-0.01533101778
35,761705000.0,0.08925305307,0.03195813298,-0.01525419019
36,783466000.0,0.08534403145,0.03560227901,-0.01423898432
37,805223000.0,0.08640410751,0.03306692839,-0.01294483896
38,826982000.0,0.08741354197,0.03545080125,-0.01055870671
39,848742000.0,0.08973552287,0.03414447606,-0.01287317462
40,870522000.0,0.08700724691,0.03527083993,-0.01538280584
41,892292000.0,0.08675540239,0.03393719718,-0.01294685807
42,914048000.0,0.08784174919,0.03263467923,-0.01529581007
43,935807000.0,0.08636592329,0.03255935386,-0.01412753016
44,957566000.0,0.08611370623,0.03248093277,-0.0129249962
45,979320000.0,0.08223292977,0.03364357725,-0.01426332444
46,1001085000.0,0.08798971772,0.03470874578,-0.01171336975
47,1022874000.0,0.08782340586,0.03739951178,-0.01542586647
48,1044633000.0,0.09262758493,0.03613020107,-0.01164610684
49,1066392000.0,0.09008006752,0.03610124066,-0.01051068585
50,1088132000.0,0.08767014742,0.03610606864,-0.01539929584
51,1109918000.0,0.08879435062,0.03729888424,-0.01539420243
52,1131669000.0,0.09483662993,0.03725739568,-0.01401835401
53,1153428000.0,0.08614326268,0.03722630814,-0.01305476669
54,1175187000.0,0.08736786991,0.03473818302,-0.01537428424
55,1196965000.0,0.08598982543,0.03469023481,-0.01179490052
56,1218737000.0,0.08602927625,0.03345220536,-0.01658665016
57,1240495000.0,0.09079016,0.03834525868,-0.01415327098
58,1262255000.0,0.088266626,0.03584582359,-0.01416630577
59,1284010000.0,0.08693579584,0.03457165882,-0.01296843588
60,1305925375.0,0.09190102667,0.03456638753,-0.01885589026
61,1327683375.0,0.08550501615,0.03202601895,-0.01053827349
62,1349473375.0,0.08545209467,0.03818321973,-0.01308982261
63,1371220375.0,0.0842102319,0.03569609672,-0.01547813043
64,1392984375.0,0.08293011785,0.03443546593,-0.01668990776
65,1414750375.0,0.08405449241,0.0319211185,-0.01539519615
66,1436509375.0,0.08515713364,0.03558010235,-0.01424162649
67,1458268375.0,0.08758705854,0.03555389494,-0.01658340916
68,1480027375.0,0.08874277771,0.03305049613,-0.01649336889
69,1501802375.0,0.08860904723,0.03300452232,-0.01649448648
70,1523575375.0,0.08726320416,0.03420301527,-0.01535303704
71,1545334375.0,0.08967555314,0.03418590873,-0.0152847087
72,1567093375.0,0.08713072538,0.03168398887,-0.01529785711
73,1588855375.0,0.08567499369,0.03532728925,-0.01059862785
74,1610613375.0,0.09059024602,0.0352986604,-0.01407682989
75,1632391375.0,0.09164838493,0.03644617647,-0.01166296378
76,1654160375.0,0.09163592756,0.03394996002,-0.01401702128
77,1675919375.0,0.08778563887,0.03390689939,-0.01171100885
78,1697678375.0,0.08164614439,0.03638479486,-0.01796374656
79,1719432375.0,0.0839118883,0.03508789465,-0.01425332204
80,1741197375.0,0.08627849072,0.03379961848,-0.0141578503
81,1762955375.0,0.08368685842,0.03127878532,-0.01176147163
82,1784719375.0,0.0836674124,0.03250167146,-0.0154047478
83,1806504375.0,0.08720610291,0.03246011958,-0.01289249025
84,1828264375.0,0.08594892919,0.03615549952,-0.01662661135
85,1850022375.0,0.08577036113,0.03362067789,-0.01295698527
86,1871781375.0,0.08320635557,0.0385152474,-0.01434500609
87,1893556375.0,0.08602298796,0.04722899944,-0.03736673295
88,1915299375.0,0.09435664117,0.04394393787,-0.3589063883
89,1937058375.0,0.1112883016,0.04188017175,-0.9008209109
90,1958848375.0,0.09330289066,0.02332714759,-1.356550932
91,1980595375.0,0.1118542403,-0.02698330209,-1.186129451
92,2002366375.0,0.109279722,-0.04672356322,-0.9567226768
93,2024125375.0,0.09710106999,0.0398862958,-0.8324826956
94,2045884375.0,0.1022523195,0.02946366183,-0.730846405
95,2067643375.0,0.09470815212,0.008184858598,-0.4436833858
96,2089403375.0,0.1028046459,0.05779836699,-0.486774981
97,2111169375.0,0.08347778767,0.05613430589,-0.1714572757
98,2132950375.0,0.09704048932,0.1420171112,-0.3020110726
99,2154709375.0,0.248764202,0.5345653892,-0.3030793071
100,2176468375.0,0.3892059624,0.6188050508,0.3221339583
101,2198229375.0,0.3680281341,0.6724276543,-0.006346496753
102,2219987375.0,0.3988267779,2.62739706,1.547242761
103,2241746375.0,0.3180506825,4.809537411,2.656184912
104,2263535375.0,0.304256022,6.660390854,2.434104919
105,2285284375.0,0.592905581,7.721608162,1.824976563
106,2307053375.0,0.6189110279,8.33419323,1.793692708
107,2328812375.0,0.03489472345,9.842366219,1.53935492
108,2350571375.0,-0.37495327,10.98423672,0.7184082866
109,2372338375.0,-0.04251725599,11.48868084,0.08459109068
110,2394102375.0,0.5406564474,11.45021629,-0.6552348137
111,2415880375.0,1.525479198,10.73553371,-1.297335505
112,2437638375.0,2.74549675,9.634302139,-1.493735909
113,2459397375.0,3.768082619,8.593227386,-1.830825567
114,2481164375.0,3.91270709,7.831587315,-2.58454895
115,2502920375.0,2.983839989,6.596652508,-3.585346222
116,2524674375.0,2.980096102,7.600022316,-3.029664516
117,2546464375.0,3.40090704,7.262804985,-2.597978115
118,2568223375.0,3.768528461,7.111259937,-2.245531321
119,2589963375.0,3.99024725,6.967020035,-1.853934526
120,2611741375.0,3.336157799,8.467719078,-1.390425324
121,2633500375.0,2.905936241,9.822378159,-1.1258744
122,2655259375.0,0.425870806,-1.876942992,0.375087142
123,2677031375.0,0.4869325161,0.8546385169,0.07721281052
124,2698807375.0,-0.4742175639,-0.03656736389,-0.5429519415
125,2720567375.0,-0.9471433163,-0.6088347435,-0.3707855642
126,2742325375.0,-0.9041804671,0.3021497428,0.3691156507
127,2764084375.0,-1.194879413,0.8487711549,0.9428313375
128,2785844375.0,-1.820416093,0.3220004439,1.171173215
129,2807603375.0,-2.075464249,-0.7380983233,1.101358175
130,2829362375.0,-1.655801058,-1.39289391,0.8832795024
131,2851151375.0,-1.615061998,-2.024984837,0.6263664365
132,2872894375.0,-1.620806932,-1.753285289,0.3849705458
133,2894670375.0,-1.661486745,-1.176287413,0.3212906122
