,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
36,712306000.0,0.183817749,-0.1477427673,-9.871072998
37,731920000.0,0.1951940918,-0.1751358032,-9.850266266
38,751544000.0,0.1749861145,-0.2065704346,-9.830058289
39,771167000.0,0.168848877,-0.1791773987,-9.853409729
40,790790000.0,0.1249900818,-0.1101708984,-9.859247589
41,810411000.0,0.1112187195,-0.07888595581,-9.860145721
42,830035000.0,0.1374142456,-0.109871521,-9.813592529
43,849658000.0,0.1583706665,-0.1772314453,-9.849068756
44,869281000.0,0.1678010559,-0.1874102783,-9.848769379
45,888904000.0,0.190254364,-0.1435514832,-9.809700623
46,908525000.0,0.1573228455,-0.1405577087,-9.825717316
47,928149000.0,0.1272354126,-0.1748364258,-9.837093658
48,947771000.0,0.1164578247,-0.1821711731,-9.816885681
49,967395000.0,0.1338217163,-0.1383123779,-9.822573853
50,986987000.0,0.1648072815,-0.1152603149,-9.828860779
51,1006610000.0,0.1812730408,-0.1416055298,-9.830657043
52,1026232000.0,0.1689985657,-0.1791773987,-9.83110611
53,1045856000.0,0.1630110168,-0.2085163879,-9.820927277
54,1065489000.0,0.1401086426,-0.1538800049,-9.823322296
55,1085101000.0,0.1510359192,-0.1013392639,-9.815239105
56,1104724000.0,0.1520837402,-0.1395098877,-9.81703537
57,1124346000.0,0.146844635,-0.1564247131,-9.81823288
58,1143983000.0,0.1609153748,-0.1651066589,-9.816735992
59,1163588000.0,0.1808239746,-0.1297801208,-9.807006226
60,1183219000.0,0.1686991882,-0.117355957,-9.798773346
61,1202829000.0,0.1655557251,-0.1654060364,-9.81119751
62,1222449000.0,0.1175056458,-0.1651066589,-9.812993774
63,1242084000.0,0.1474433899,-0.1475930786,-9.797725525
64,1261689000.0,0.1387614441,-0.1245410156,-9.800419922
65,1281298000.0,0.1652563477,-0.1410067749,-9.806108093
66,1300921000.0,0.1766326904,-0.1682501221,-9.811047821
67,1320544000.0,0.1520837402,-0.1784289551,-9.809550934
68,1340162000.0,0.16615448,-0.155975647,-9.811496887
69,1359784000.0,0.1450483704,-0.1374142456,-9.796977081
70,1379413000.0,0.1320254517,-0.1375639343,-9.789941711
71,1399036000.0,0.1571731567,-0.1625619507,-9.791438599
72,1418628000.0,0.1474433899,-0.1667532349,-9.792785797
73,1438251000.0,0.1490899658,-0.1417552185,-9.793983307
74,1457872000.0,0.155975647,-0.1363664246,-9.835896149
75,1477496000.0,0.1657054138,-0.1601669312,-9.78889389
76,1497119000.0,0.150586853,-0.1336720276,-9.811945953
77,1516742000.0,0.1553768921,-0.1371148682,-9.810598755
78,1536516375.0,0.1651066589,-0.1428030396,-9.77841568
79,1556138375.0,0.1604663086,-0.1645079041,-9.790540466
80,1575762375.0,0.1682501221,-0.1546284485,-9.808952179
81,1595361375.0,0.16615448,-0.1667532349,-9.797725525
82,1614977375.0,0.1757345581,-0.1272354126,-9.805808716
83,1634612375.0,0.1460961914,-0.1172062683,-9.808952179
84,1654212375.0,0.1309776306,-0.1481918335,-9.807006226
85,1673855375.0,0.135617981,-0.1678010559,-9.79128891
86,1693469375.0,0.1710942078,-0.183817749,-9.795330505
87,1713096375.0,0.1769320679,-0.1425036621,-9.809401245
88,1732714375.0,0.1890568542,-0.1423539734,-9.785001984
89,1752337375.0,0.1731898499,-0.1637594604,-9.811496887
90,1771929375.0,0.1880090332,-0.1625619507,-9.819879456
91,1791552375.0,0.1642085266,-0.09205856323,-9.827962646
92,1811189375.0,0.143102417,-0.1052311707,-9.831704865
93,1830797375.0,0.1392105103,-0.2110610962,-9.804461517
94,1850420375.0,0.1020877075,-0.2728825378,-9.84397934
95,1870042375.0,0.1013392639,-0.2206411743,-9.80880249
96,1889666375.0,0.162412262,-0.2174977112,-9.851314087
97,1909282375.0,0.1883084106,-0.04864883423,-9.819729767
98,1928912375.0,0.1916015625,-0.01197509766,-9.814340973
99,1948534375.0,0.1362167358,-0.08622070312,-9.792187042
100,1968156375.0,0.09250762939,-0.1764830017,-9.827812958
101,1987750375.0,0.133971405,-0.1859133911,-9.843679962
102,2007375375.0,0.182769928,-0.1664538574,-9.851164398
103,2026995375.0,0.2252815247,-0.186512146,-9.806407471
104,2046618375.0,0.2094145203,-0.1809736633,-9.82167572
105,2066241375.0,0.1499880981,-0.1460961914,-9.842482452
106,2085864375.0,0.1142124939,-0.09849517822,-9.823921051
107,2105499375.0,0.1008901978,-0.0940045166,-9.832004242
108,2125108375.0,0.1285826111,-0.09370513916,-9.843530273
109,2144759375.0,0.09999206543,-0.1734892273,-10.00160156
110,2164385375.0,0.4309538269,0.1299298096,-9.84158432
111,2184008375.0,1.860032043,1.171613617,-9.798773346
112,2203626375.0,4.947062531,1.518143005,-9.791139221
113,2223254375.0,4.036506042,0.7634124756,-9.62513443
114,2242876375.0,-1.15020813,-0.9330097961,-9.730814667
115,2262498375.0,-1.483415222,-0.9848020935,-9.810898132
116,2282122375.0,-1.314566345,-0.8020321655,-9.925559692
117,2301733375.0,-1.265318756,-0.9225315857,-9.845176849
118,2321367375.0,-1.755399628,-0.6312373352,-9.955198059
119,2340990375.0,-5.180576935,-0.8228388977,-9.902507629
120,2360615375.0,-3.006947021,-1.352138214,-9.853559418
121,2380236375.0,5.323978729,1.759441223,-9.645342407
122,2399858375.0,0.7839198303,-0.8318202209,-9.974358215
123,2419481375.0,1.641486511,-0.03966751099,-11.8351387
124,2439074375.0,-0.2709365845,-0.5457650757,-9.553433533
125,2458710375.0,2.141596527,-1.03434906,-10.13677048
126,2478320375.0,-0.1592687988,3.319197693,-14.16848648
127,2497941375.0,2.960992584,2.328857117,-14.95599884
128,2517565375.0,8.293802948,0.2582130432,-13.29684906
129,2537187375.0,11.38292908,-0.799637146,-13.40956467
130,2556822375.0,10.26460464,-0.8705895996,-14.27117294
131,2576434375.0,10.15353561,-0.126486969,-14.89133331
132,2596061375.0,14.08017014,-3.074456635,-14.42550201
133,2615678375.0,17.29009506,-4.973557434,-10.90497299
134,2635313375.0,18.08524155,-5.298831024,-6.775659943
135,2654933375.0,18.84805527,-6.647825775,-3.40960968
136,2674548375.0,18.18732925,-7.679181061,-0.07409591675
137,2694169375.0,14.71155716,-7.343578949,2.72747818
138,2713793375.0,11.02472397,-6.700067139,3.110681305
139,2733416375.0,8.958720245,-5.358556824,2.064357147
140,2753039375.0,5.619164886,-4.212390289,0.3552113342
141,2772662375.0,1.862876129,-0.8852590942,-1.570983124
142,2792284375.0,-0.6891668701,1.569186859,0.2323168945
143,2811906375.0,-0.4119433594,-0.1083746338,-0.02694396973
144,2831530375.0,-0.3626957703,-0.04939727783,0.02499801636
145,2851136375.0,-0.33230896,-0.04999603271,0.04415817261
146,2870775375.0,-0.3017724609,0.6917115784,-1.092128906
147,2890397375.0,0.1944456482,2.122136993,-0.4746629333
148,2910020375.0,-5.171595612,6.267466736,17.29084351
149,2929643375.0,-4.39022049,5.4292099,-2.182461548
150,2949266375.0,-3.070864105,2.960094452,0.6601272583
151,2968889375.0,-3.804787903,2.508034515,3.078647919
152,2988512375.0,-5.47127243,2.250420227,3.354075165
153,3008138375.0,-5.35316803,2.576142883,3.599864044
154,3027758375.0,-4.424648895,2.617307281,2.932851105
155,3047381375.0,-4.225113831,4.533622284,2.608625336
156,3067003375.0,-4.496948547,6.227799225,3.813020782
157,3086625375.0,-3.754043427,6.443500671,6.054908752
158,3106234375.0,-2.090253296,5.160368958,7.680079193
159,3125858375.0,-2.512824554,6.038143616,6.830895081
160,3145508375.0,-2.576142883,6.99480423,7.721243591
161,3165118375.0,-2.555036774,6.298452301,8.32868042
162,3184732375.0,-2.685565338,5.352120209,8.478818207
163,3204360375.0,-2.562670898,4.855752411,8.793912964
164,3223985375.0,-1.997595978,5.213209076,8.833730164
165,3243609375.0,-1.604812775,5.07115448,10.36309982
166,3263232375.0,-1.68025589,4.90619751,10.24559418
167,3282855375.0,-1.270557861,4.505630493,9.874216461
168,3302486375.0,-0.2161505127,5.106331329,10.15787659
169,3322099375.0,-0.4125421143,4.39486084,9.264234924
170,3341722375.0,-0.9056167603,4.338128815,8.942703552
171,3361346375.0,-1.733545074,4.225862274,8.424780579
172,3380969375.0,-2.187550964,4.193080444,7.85476593
173,3400561375.0,-0.9729766846,4.159550171,8.352181549
174,3420184375.0,-1.132395172,4.481979675,7.858358459
175,3439806375.0,-1.6907341,4.298760681,7.422165527
176,3459429375.0,-1.720671844,4.480782166,7.627538452
177,3479052375.0,-0.9940827942,4.71893692,8.260422363
178,3498675375.0,-0.9397457886,4.996908875,8.746461639
179,3518298375.0,-1.020727386,5.053491211,8.386310577
180,3537920375.0,-1.382824402,5.039719849,7.838300171
181,3557551375.0,-0.8304730225,5.190606079,8.420289917
182,3577186375.0,-0.880019989,5.288951569,8.234675903
183,3596789375.0,-0.7220983887,5.183570709,8.66443222
184,3616412375.0,-0.5710624695,4.930447083,8.254584503
185,3636036375.0,-0.09205856323,5.014422455,8.13797699
186,3655658375.0,-0.8261320496,4.994663544,8.038284302
187,3675279375.0,-0.9846524048,5.101092224,8.483458557
188,3694895375.0,-0.5063969421,5.053341522,9.091494141
