,Time (s),X (µT),Y (µT),Z (µT)
117,2546743333.0,39.35115814,-20.70031929,-17.86290741
118,2568496333.0,38.00557709,-21.37050056,-19.87406349
119,2590258333.0,36.54172516,-22.26956177,-21.56083107
120,2612020333.0,35.4071846,-22.90470123,-22.75536537
121,2633780333.0,34.88105774,-23.09668922,-23.36569595
122,2655569333.0,34.23278046,-23.31006241,-24.10100555
123,2677319333.0,33.27515411,-23.78717804,-24.96067047
124,2699087333.0,32.00195694,-24.43392181,-25.97997284
125,2720833333.0,30.59858322,-25.56936646,-26.57131958
126,2742605333.0,29.51781845,-26.61166382,-26.76972771
127,2764380333.0,28.46161652,-27.38414192,-27.13201141
128,2786123333.0,27.56044769,-27.89727783,-27.53660202
129,2807882333.0,26.85281372,-28.4779644,-27.6411438
130,2829672333.0,26.19227219,-29.17297745,-27.55001068
131,2851431333.0,25.75156593,-29.83846283,-27.25111961
132,2873199333.0,25.39726639,-30.39235306,-26.97006607
133,2894949333.0,25.06853485,-30.88459778,-26.71724129
134,2916708333.0,24.93693733,-31.26914597,-26.39110374
135,2938467333.0,24.93540192,-31.78868866,-25.76442719
136,2960226333.0,24.85494232,-32.20066452,-25.32685852
137,2981992333.0,24.86203384,-32.4672699,-24.97712135
138,3003774333.0,24.90785408,-32.65973663,-24.67875862
139,3025533333.0,24.95131302,-32.8252182,-24.41388702
140,3047293333.0,24.99623871,-32.89841461,-24.26896667
141,3069058333.0,24.91741562,-33.10992813,-24.06149292
142,3090812333.0,24.94944382,-33.15574265,-23.96503067
143,3112592333.0,24.90994453,-33.24612427,-23.8807621
144,3134330333.0,25.03792763,-33.27107239,-23.71157074
145,3156118333.0,25.09349823,-33.39038086,-23.48402596
146,3177861333.0,25.17302322,-33.39009857,-23.39916611
147,3199636333.0,25.10141373,-33.57509613,-23.21061325
148,3221379333.0,25.05902672,-33.69016266,-23.08936691
149,3243154333.0,25.02086258,-33.8993187,-22.82308197
150,3264916333.0,25.02401924,-33.99914551,-22.67062569
151,3286672333.0,24.86182404,-34.17700958,-22.58145523
152,3308431333.0,24.77789688,-34.3225708,-22.45256805
153,3330221333.0,24.7684536,-34.47789764,-22.22383499
154,3351965333.0,24.82051086,-34.61729431,-21.94734192
155,3373741333.0,24.70662689,-34.72744751,-21.90176773
156,3395498333.0,24.65708542,-34.72438812,-21.96237183
157,3417257333.0,24.6910553,-34.58384705,-22.14519882
158,3439016333.0,24.777565,-34.5422554,-22.11347008
