,Time (s),X (µT),Y (µT),Z (µT)
39,848632000.0,-16.49023628,-17.55467224,40.70595169
40,870405000.0,-16.49442673,-17.53488541,40.71278
41,892181000.0,-16.52379417,-17.45624542,40.7346611
42,913935000.0,-16.51784706,-17.46891212,40.73164368
43,935699000.0,-16.54319954,-17.3892498,40.75543594
44,957451000.0,-16.54088211,-17.38643456,40.75757599
45,979201000.0,-16.48245621,-17.50021744,40.73254395
46,1000977000.0,-14.86574459,-23.23923492,43.17423248
47,1022735000.0,-14.87419605,-23.19658661,43.19425201
48,1044494000.0,-14.90403175,-23.11634254,43.2269783
49,1066263000.0,-14.90130806,-23.10399628,43.23451996
50,1088013000.0,-14.86641788,-23.18203735,43.20474243
51,1109771000.0,-14.83537102,-23.24510002,43.18152618
52,1131531000.0,-14.80807114,-23.29577255,43.16358566
53,1153289000.0,-14.78595352,-23.33859253,43.14803696
54,1175048000.0,-14.81359577,-23.25645065,43.18288803
55,1196825000.0,-14.84232521,-23.17408752,43.21728897
56,1218567000.0,-14.83006477,-23.19418526,43.21071625
57,1240326000.0,-14.79504204,-23.23981094,43.19820786
58,1262104000.0,-14.79360962,-23.22835922,43.20485306
59,1283845000.0,-14.7835207,-23.23831749,43.20294952
60,1305603000.0,-14.75627136,-23.29058456,43.18412018
61,1327375000.0,-14.79100227,-23.18682289,43.22804642
62,1349122000.0,-14.76364994,-23.23908806,43.20933151
63,1370880000.0,-14.79136753,-23.15628624,43.24429321
64,1392669000.0,-14.81929302,-23.07471275,43.27832413
65,1414428000.0,-14.80244827,-23.10924149,43.26566696
66,1436187000.0,-14.77408409,-23.17741203,43.23888779
67,1457932000.0,-14.74155426,-23.2475853,43.21230698
68,1479705000.0,-14.77079582,-23.16654015,43.24583054
69,1501464000.0,-14.80014706,-23.08371544,43.28007889
70,1523224000.0,-14.75352573,-23.19378471,43.23711777
71,1544978000.0,-14.72620964,-23.23867035,43.222332
72,1566743000.0,-14.72176743,-23.22709656,43.23006821
73,1588502000.0,-14.74855423,-23.14656067,43.26412201
74,1610260000.0,-14.73160553,-23.17433929,43.25501633
75,1632020000.0,-14.70080853,-23.2328701,43.23410034
76,1654275250.0,-14.65980148,-23.32032776,43.2009201
77,1676040250.0,-14.63405323,-23.36642265,43.18473434
78,1697799250.0,-14.61021137,-23.39465714,43.17752457
79,1719558250.0,-14.61608124,-23.36532784,43.19142151
80,1741317250.0,-14.64297485,-23.28496933,43.22569275
81,1763095250.0,-14.64363384,-23.26352882,43.23701096
82,1784835250.0,-14.6229763,-23.29469681,43.22722244
83,1806595250.0,-14.59872341,-23.33065605,43.21602249
84,1828353250.0,-14.62620831,-23.25181198,43.24921417
85,1850141250.0,-14.62799454,-23.23332787,43.25854111
86,1871902250.0,-14.65660572,-23.1509552,43.2930069
87,1893661250.0,-14.68468285,-23.06800461,43.32775879
88,1915420250.0,-14.70619583,-23.00675774,43.3530159
89,1937179250.0,-14.6795454,-23.0481987,43.3400383
90,1958935250.0,-14.61357403,-23.17308044,43.2957077
91,1980697250.0,-14.60684586,-23.16230202,43.3037529
92,2002456250.0,-14.63520432,-23.07834244,43.33899307
93,2024215250.0,-14.57931709,-23.22012138,43.2820549
94,2045974250.0,-14.53645802,-23.31638527,43.2447052
95,2067733250.0,-14.51204395,-23.38693047,43.2148056
96,2089480250.0,-14.53602123,-23.40910149,43.19473267
97,2111251250.0,-14.51626015,-23.48696899,43.15909195
98,2133011250.0,-14.48444653,-23.51683235,43.15351868
99,2154774250.0,-14.62918758,-23.48242569,43.12342834
100,2176528250.0,-14.84257793,-22.77667618,43.42796326
101,2198300250.0,-13.82731247,-21.95376587,44.18036652
102,2220046250.0,-9.724404335,-21.17961311,45.6281395
103,2241805250.0,-3.80243206,-19.48387146,47.23332977
104,2263567250.0,1.872296333,-16.84714508,48.3501358
105,2285324250.0,6.238248825,-14.85069656,48.63751984
106,2307113250.0,12.04846478,-12.96841431,48.08036804
107,2328842250.0,17.63084984,-12.73400402,46.39035416
108,2350612250.0,23.84038353,-14.63268089,42.92537308
109,2372390250.0,30.08877945,-16.98408699,37.83217621
110,2394149250.0,35.44112396,-18.51743698,32.03276825
111,2415908250.0,39.00956345,-19.24425507,27.07359695
112,2437667250.0,41.43064499,-19.73169708,22.78659058
113,2459432250.0,44.02162933,-20.40013123,16.4620018
114,2481179250.0,44.89339447,-20.63410378,13.56037331
115,2502944250.0,46.29334641,-21.17771912,5.787690163
116,2524703250.0,46.29135895,-21.95724106,-0.2376890182
117,2546462250.0,45.44971848,-23.02851105,-5.392399788
118,2568228250.0,43.62216568,-24.5386734,-10.95568943
119,2589993250.0,41.73215485,-26.0779953,-14.26296616
120,2611739250.0,39.42667389,-28.07761955,-16.80034256
121,2633498250.0,37.16110611,-29.94327927,-18.64187622
122,2655264250.0,35.42883301,-30.55485725,-20.88697433
123,2677017250.0,34.24475098,-29.68655396,-23.89712906
124,2698775250.0,32.80288315,-29.38809204,-26.17972183
125,2720534250.0,31.31106758,-30.18259811,-27.08680534
126,2742324250.0,30.24370193,-31.39112854,-26.92550278
127,2764083250.0,29.47457695,-32.39655685,-26.58532333
128,2785842250.0,28.74800873,-32.98984528,-26.65124512
129,2807601250.0,27.30943489,-33.6786499,-27.29488182
130,2829360250.0,25.839077,-34.16273117,-28.11257362
131,2851110250.0,24.85207367,-34.19706726,-28.94826508
132,2872869250.0,23.94662476,-34.19461823,-29.70445061
133,2894637250.0,23.24478722,-34.48012924,-29.93104935
134,2916396250.0,22.58496094,-35.4071846,-29.3482132
135,2938155250.0,22.11574554,-36.66586685,-28.13494301
136,2959912250.0,21.41037178,-37.76444244,-27.21231461
137,2981678250.0,20.53020096,-38.50757599,-26.8466835
138,3003432250.0,19.89965057,-38.70796967,-27.03264618
139,3025192250.0,19.49678612,-38.71191025,-27.31904221
140,3046962250.0,19.39440346,-38.78577805,-27.28712845
141,3068709250.0,19.33232689,-39.01644135,-27.00084305
142,3090486250.0,19.2898674,-39.36400223,-26.52251053
143,3112227250.0,19.48067093,-39.56983948,-26.07294846
144,3133987250.0,19.70920563,-39.80233383,-25.54189491
145,3155771250.0,19.08783722,-39.99703217,-25.70911789
146,3177535250.0,19.38342285,-40.02506256,-25.44296265
147,3199289250.0,19.67991447,-40.11344528,-25.07348251
148,3221053250.0,19.84698296,-40.23291779,-24.74826622
149,3242813250.0,20.07440948,-40.35385895,-24.36495972
150,3264571250.0,20.16849136,-40.35877228,-24.27897072
151,3286330250.0,20.17053413,-40.40550995,-24.19940948
152,3308090250.0,20.24684525,-40.62754822,-23.7599411
153,3329834250.0,20.4151516,-41.00564575,-22.95268059
154,3351609250.0,20.71491623,-41.44200516,-21.87508965
155,3373366250.0,20.8006382,-41.54850769,-21.58985901
156,3395125250.0,20.92998886,-41.69005585,-21.1882515
157,3416884250.0,20.89976501,-41.78078461,-21.03884506
158,3438643250.0,20.89711761,-41.86500549,-20.87339783
159,3460399250.0,20.92140961,-41.93040848,-20.71720505
160,3482162250.0,20.99654388,-41.9986496,-20.5018425
161,3503921250.0,21.03551483,-42.0490799,-20.35802269
162,3525680250.0,21.03846931,-42.16779327,-20.10788155
163,3547445250.0,21.06039047,-42.35502243,-19.68702507
164,3569219250.0,21.06208038,-42.41812515,-19.54887772
165,3590981250.0,21.06964111,-42.51476288,-19.32957649
166,3612746250.0,21.09600258,-42.58210754,-19.15176392
167,3634505250.0,21.14948082,-42.63848495,-18.96644974
168,3656264250.0,21.23765373,-42.6934433,-18.74297714
169,3678003250.0,21.02162552,-42.7710228,-18.80952072
170,3699782250.0,21.2967186,-42.71756744,-18.6205864
171,3721535250.0,21.41657066,-42.56332016,-18.8351078
172,3743300250.0,21.43502998,-42.49632263,-18.96493912
173,3765059250.0,21.43149567,-42.45310974,-19.06544876
174,3786819250.0,21.3690834,-42.40898514,-19.23297882
175,3808578250.0,21.41983986,-42.47553253,-19.0285778
176,3830337250.0,21.4628315,-42.53552246,-18.84524536
