"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.719082000E0,7.901070595E0,-2.290500450E1,-4.408332443E1
1.740845000E0,1.025807381E1,-2.242774010E1,-4.384260178E1
1.762604000E0,1.245906353E1,-2.188722420E1,-4.354453659E1
1.784363000E0,1.335316849E1,-2.149121284E1,-4.347673035E1
1.806113000E0,1.427483559E1,-2.135497093E1,-4.325043106E1
1.827863000E0,1.530743980E1,-2.133407784E1,-4.290623856E1
1.849640000E0,1.613207054E1,-2.127459908E1,-4.263277054E1
1.871399000E0,1.699144936E1,-2.119642258E1,-4.233683777E1
1.893158000E0,1.867308807E1,-2.113525009E1,-4.165359879E1
1.914921000E0,1.963483238E1,-2.135612297E1,-4.109494781E1
1.936676000E0,1.977446747E1,-2.194167137E1,-4.071779633E1
1.958435000E0,1.971145248E1,-2.280825615E1,-4.026968384E1
1.980194000E0,2.033781624E1,-2.384180641E1,-3.934903717E1
2.001953000E0,2.198171043E1,-2.486170197E1,-3.780351257E1
2.023712000E0,2.216015816E1,-2.614979935E1,-3.681739807E1
2.045472000E0,2.068066597E1,-2.707912827E1,-3.700589752E1
2.067232000E0,1.962654877E1,-2.878681374E1,-3.628392792E1
2.088990000E0,2.011365128E1,-2.983591843E1,-3.515201950E1
2.110743000E0,2.085447311E1,-3.031586838E1,-3.429933548E1
2.132508000E0,2.169504166E1,-3.024094772E1,-3.384103775E1
2.154267000E0,2.263624573E1,-2.987473297E1,-3.354856873E1
2.176056000E0,2.441846275E1,-2.907719040E1,-3.299486923E1
2.197795000E0,2.689921951E1,-2.821943283E1,-3.178838158E1
2.219574000E0,2.820968246E1,-2.832308578E1,-3.053558731E1
2.241334000E0,2.886491203E1,-2.882310486E1,-2.943553734E1
2.263093000E0,2.914137840E1,-2.904144287E1,-2.894443512E1
2.284851000E0,2.975261497E1,-2.890944862E1,-2.845049667E1
2.306615000E0,3.020977783E1,-2.867732811E1,-2.820258331E1
2.328359000E0,3.048038483E1,-2.860808754E1,-2.798086548E1
2.350129000E0,3.066612625E1,-2.855492592E1,-2.783181763E1
